"Draw","Country","Artist","Song","Language","Place","Points"
"01","Portugal","Carlos Mendes","%INLINEQ%Verão%INLINEQ%","Portuguese","11","5"
"02","Netherlands","Ronnie Tober","%INLINEQ%Morgen%INLINEQ%","Dutch","16","1"
"03","Belgium","Claude Lombard","%INLINEQ%Quand tu reviendras%INLINEQ%","French","7","8"
"04","Austria","Karel Gott","%INLINEQ%Tausend Fenster%INLINEQ%","German","13","2"
"05","Luxembourg","Chris Baldo & Sophie Garel","%INLINEQ%Nous vivrons d'amour%INLINEQ%","French","11","5"
"06","Switzerland","Gianni Mascolo","%INLINEQ%Guardando il sole%INLINEQ%","Italian","13","2"
"07","Monaco","Line & Willy","%INLINEQ%À chacun sa chanson%INLINEQ%","French","7","8"
"08","Sweden","Claes-Göran Hederström","%INLINEQ%Det börjar verka kärlek, banne mej%INLINEQ%","Swedish","5","15"
"09","Finland","Kristina Hautala","%INLINEQ%Kun kello käy%INLINEQ%","Finnish","16","1"
"10","France","Isabelle Aubret","%INLINEQ%La source%INLINEQ%","French","3","20"
"11","Italy","Sergio Endrigo","%INLINEQ%Marianne%INLINEQ%","Italian","10","7"
"12","United Kingdom","Cliff Richard","%INLINEQ%Congratulations%INLINEQ%","English","2","28"
"13","Norway","Odd Børre","%INLINEQ%Stress%INLINEQ%","Norwegian","13","2"
"14","Ireland","Pat McGuigan","%INLINEQ%Chance of a Lifetime%INLINEQ%","English","4","18"
"15","Spain","Massiel","%INLINEQ%La, la, la%INLINEQ%","Spanish","1","29"
"16","Germany","Wenche Myhre","%INLINEQ%Ein Hoch der Liebe%INLINEQ%","German","6","11"
"17","Yugoslavia","Dubrovački trubaduri","%INLINEQ%Jedan dan%INLINEQ%","Serbo-Croatian","7","8"
