"Head Coach","Years","Seasons","Overall","Pct.","Conf.","Pct.","NCAA Berths"
"Vic Katch","1973–74","1","3–8",".273","0–1",".000","–"
"Carmel Borders","1974–77","3","23–28",".451","4–8",".333","–"
"Gloria Soluk","1977–84","7","66–120",".355","22–61",".265","0"
"Bud VanDeWege","1984–92","8","93–132",".413","41–103",".285","1"
"Trish Roberts","1992–96","4","20–88",".185","5–63",".074","0"
"Sue Guevara","1996–2003","7","123–82",".600","57–55",".509","3"
"Cheryl Burnett","2003–07","4","35–83",".297","10–54",".156","0"
"Kevin Borseth","2008–12","5","87–73",".544","38–48",".442","1"
"Kim Barnes Arico","2012–present","6","134–71",".654","55–45",".550","1"
"Totals","","45","584–685",".460","232–437",".347","6"
