"Draw","Country","Artist","Song","Language","Place","Points"
"01","Russia","Katya Ryabova","%INLINEQ%Romeo & Juliet%INLINEQ%","Russian","4","99"
"02","Latvia","Amanda Bašmakova","%INLINEQ%Moondog%INLINEQ%","Latvian","13","31"
"03","Moldova","Lerika","%INLINEQ%No, No%INLINEQ%","Romanian, English","6","78"
"04","Armenia","Dalita","%INLINEQ%Welcome to Armenia%INLINEQ%","Armenian, English","5","85"
"05","Bulgaria","Ivan Ivanov","%INLINEQ%Superhero%INLINEQ%","Bulgarian","8","60"
"06","Lithuania","Paulina Skrabytė","%INLINEQ%Debesys%INLINEQ%","Lithuanian","10","53"
"07","Ukraine","Kristall","%INLINEQ%Evropa%INLINEQ% (Європа)","Ukrainian, English","11","42"
"08","Macedonia","Dorijan Dlaka","%INLINEQ%Žimi ovoj frak%INLINEQ% (Жими овој фрак)","Macedonian","12","31"
"09","Netherlands","Rachel","%INLINEQ%Teenager%INLINEQ%","Dutch","2","103"
"10","Belarus","Lidiya Zablotskaya","%INLINEQ%Angely dobra%INLINEQ% (Ангелы добра)","Russian","3","99"
"11","Sweden","Erik Rapp","%INLINEQ%Faller%INLINEQ%","Swedish","9","57"
"12","Georgia","Candy","%INLINEQ%Candy Music%INLINEQ%","Georgian","1","108"
"13","Belgium","Femke","%INLINEQ%Een kusje meer%INLINEQ%","Dutch","7","64"
