"Year","Name","Hometown","Age1","Placement at Miss Teen USA","Special awards at Miss Teen USA","Notes"
"2019","Megan Brewer","Melstone","17","","",""
"2018","Elley Munson","Billings","16","","",""
"2017","Elle Cook","Billings","17","","",""
"2016","Jami Forseth","Huntley","18","","",""
"2015","Miranda Youngren","Columbus","17","","",""
"2014","Madyson Rigg","Kalispell","17","","",""
"2013","Maurissa Gunn","Park City","16","","",""
"2012","Danica Jansma","Manhattan","15","","",""
"2011","Sibahn Doxey","Frenchtown","18","","","Later Miss Montana USA 2016"
"2010","Dakota Mackey","Missoula","18","","",""
"2009","Haley Boyer","Stevensville","17","","",""
"2008","Stacey Velasco","Dillon","18","","",""
"2007","Chelsea Nelson","Billings","17","","",""
"2006","Katie Blair","Billings","18","Miss Teen USA 2006","","She is the first Miss Montana Teen USA to make the semifinals at the national pageant. Later assumed the Miss California USA 2011 title."
"2005","Kendall Powell","Missoula","17","","",""
"2004","Autumn Muller","Harlowton","17","","","Later Miss Montana USA 2012"
"2003","Arielle Brown","Billings","17","","",""
"2002","Meghan Minnick","Missoula","15","","",""
"2001","Kristi Krings","Billings","18","","","Won the Grand Prize in the John Lennon Songwriting Competition for her original song %INLINEQ%I Am Found.%INLINEQ%"
"2000","Renae Skogen","Conrad","19","","",""
"1999","Raylene Miller","Great Falls","18","","",""
"1998","Maggie Stoker","Bigfork","18","","",""
"1997","Coty Strickler","Dillon","17","","",""
"1996","Grace Tubbs","Helena","17","","",""
"1995","Christi Hanson","Helena","17","","",""
"1994","Desiree Gravelle","Kalispell","18","","",""
"1993","Angela Carter","Kalispell","18","","",""
"1992","Aubrey Jo Hiller","Missoula","19","","","Later Miss Montana 1996"
"1991","Theresa Rosenbaum","Missoula","18","","",""
"1990","Stephanie Wallace","Billings","17","","",""
"1989","Jennifer Cook","Stevensville","17","","",""
"1988","Kristen Anderson","Columbia Falls","17","","","Later Miss Montana USA 1993"
"1987","Andrea Madsen","Bozeman","17","","",""
"1986","Karry Koslecki","Bozeman","17","","",""
"1985","Katie Adams","Kalispell","18","","",""
"1984","Pam Miller","Columbia Falls","17","","",""
"1983","Leslie Lucas","Miles City","17","","",""
