"S.No.","Name","District","Population (2011)","Population (2001)"
"1","Visakhapatnam","Visakhapatnam","2,035,922","982,904"
"2","Vijayawada","Krishna","1,021,806","851,282"
"3","Guntur","Guntur","670,073","514,461"
"4","Nellore","Nellore","547,621","378,428"
"5","Kurnool","Kurnool","460,330","269122"
"6","Rajahmundry","East Godavari","341,831","315,251"
"7","Kadapa","Kadapa","318,916","126,505"
"8","Kakinada","East Godavari","312,538","296,329"
"9","Tirupati","Chittoor","293,421","228,202"
"10","Eluru","West Godavari","283,020","190,062"
"11","Anantapur","Anantapur","261,004","218,808"
"12","Vizianagaram","Vizianagaram","228,720","174,651"
"13","Nandyal","Kurnool","211,424","152,676"
"14","Ongole","Prakasam","204,746","150,471"
"15","Adoni","Kurnool","184,625","157,305"
"16","Madanapalle","Chittoor","180,180","99,967"
"17","Machilipatnam","Krishna","169,892","179,353"
"18","Tenali","Guntur","164,937","153,756"
"19","Proddatur","Kadapa","163,970","150,309"
"20","Chittoor","Chittoor","160,772","152,654"
"21","Hindupur","Anantapur","151,677","125,074"
"22","Bhimavaram","West Godavari","146,961","137,409"
"23","Srikakulam","Srikakulam","135,367","109,905"
"24","Guntakal","Anantapur","126,270","117,103"
"25","Dharmavaram","Anantapur","121,874","103,357"
"26","Gudivada","Krishna","118,167","113,054"
"27","Narasaraopet","Guntur","117,489","93,321"
"28","Tadipatri","Anantapur","108,171","86,843"
"29","Tadepalligudem","West Godavari","104,032","102,622"
"30","Chilakaluripet","Guntur","101,398","91,656"
"31","Amaravati ‡","Guntur","103,000","—"
"32","Kavali","Nellore","90,099","79,682"
