"No.","Block","Sente","Gote","No. of moves","Date","Guest Analyst"
"1","B","Taichi Nakamura 5d","Ayumu Matsu 7d","108","April 3, 2011","Manabu Senzaki 8d"
"2","B","Yūsuke Tōyama 5d","Daisuke Suzuki 8d","85","April 10, 2011","Nobuyuki Yashiki 9d"
"3","A","Osamu Nakamura 9d","Kōta Kanai 5d","126","April 17, 2011","Takanori Hashimoto 7d"
"4","B","Masataka Sugimoto 7d","Yūsuke Ina 6d","157","April 24, 2011","Kenji Kobayashi 9d"
"5","A","Kōhei Funae 4d","Yasuaki Murayama 5d","80","May 1, 2011","Keita Inoue 9d"
"6","B","Amahiko Satō 6d","Masayuki Toyoshima 6d","102","May 8, 2011","Eiji Iijima 7d"
"7","A","Hiroki Nakata 8d","Shūji Muranaka 6d","110","May 15, 2011","Akira Shima 9d"
"8","A","Chikara Akutsu 7d","Yoshiyuki Kubota 6d","97","May 22, 2011","Ayumu Matsuo 7d"
"9","B","Tadao Kitajima 6d","Nobuyuki Yashiki 9d","115","May 29, 2011","Daisuke Nakagawa 8d"
"10","A","Takuya Nagase 5d","Yasumitsu Satō 9d","131","June 5, 2011","Daisuke Suzuki 8d"
"11","B","Kenjirō Abe 5d","Kōzō Arimori 7d","75","June 12, 2011","Takeshi Fujii 9d"
"12","A","Mamoru Hatakeyama 7d","Keiji Mori 9d","153","June 19, 2011","Yoshikazu Minami 9d"
"13","B","Kōichi Fukaura 9d","Akio Ishikawa 6d","130","June 26, 2011","Osamu Nakamura 9d"
"14","B","Hisashi Namekata 8d","Tatsuya Sugai 4d","120","July 3, 2011","Toshiaki Kubo 2 crown"
"15","A","Takahiro Toyokawa 7d","Hiroshi Kobayashi 7d","96","July 10, 2011","Takashi Abe 8d"
"16","A","Daisuke Katagami 6d","Makoto Tobe 6d","142","July 17, 2011","Akihito Hirose ōi"
"17","B","Mitsunori Makino 4d","Takayuki Yamasaki 7d","114","July 24, 2011","Mamoru Hatakeyama 7d"
"18","A","Akira Shima 9d","Tomomi Kai W3d","75","July 31, 2011","Chikara Akutsu 7d"
