"#","Event year","Season","Flag bearer","Sport"
"32","2016","Summer","Cătălina Ponor","Artistic gymnastics"
"31","2014","Winter","Éva Tófalvi","Biathlon"
"30","2012","Summer","Horia Tecău","Tennis"
"29","2010","Winter","Éva Tófalvi","Biathlon"
"28","2008","Summer","Valeria Motogna-Beșe","Handball"
"27","2006","Winter","Gheorghe Chiper","Figure skating"
"26","2004","Summer","Elisabeta Lipă","Rowing"
"25","2002","Winter","Éva Tófalvi","Biathlon"
"24","2000","Summer","Elisabeta Lipă","Rowing"
"23","1998","Winter","Mihaela Dascălu","Speed skating"
"22","1996","Summer","Iulică Ruican","Rowing"
"21","1994","Winter","Ioan Apostol","Luge"
"20","1992","Summer","Costel Grasu","Athletics"
"19","1992","Winter","Ioan Apostol","Luge"
"18","1988","Summer","Vasile Andrei","Wrestling"
"17","1988","Winter","Dorin Degan",""
"16","1984","Summer","Corneliu Ion","Shooting sport"
"15","1984","Winter","Dorel Cristudor",""
"14","1980","Summer","Vasile Andrei","Wrestling"
"13","1980","Winter","Gheorghe Lixandru",""
"12","1976","Summer","Nicolae Martinescu",""
"11","1976","Winter","Gheorghe Gârniţă",""
"10","1972","Summer","Aurel Vernescu",""
"9","1972","Winter","Ion Panțuru",""
"8","1968","Summer","Aurel Vernescu",""
"7","1968","Winter","Beatrice Huștiu","Figure skating"
"6","1964","Summer","Aurel Vernescu",""
"5","1964","Winter","Ion Panțuru",""
"4","1960","Summer","Alexandru Bizim","Athletics"
"3","1956","Summer","Iosif Sîrbu","Shooting sport"
"2","1952","Summer","Dumitru Paraschivescu","Athletics"
"1","1936","Summer","Șerban Mănciulescu","Shooting sport"
