"Draw","Artist","Song","Televote","Place"
"1","Leszcze","%INLINEQ%Weekend%INLINEQ%","8.44%","5"
"2","Dziewczyny","%INLINEQ%Cash Box%INLINEQ%","1.92%","10"
"3","Iwona Węgrowska","%INLINEQ%Uwięziona%INLINEQ%","14.94%","3"
"4","Marcin Mroziński","%INLINEQ%Legenda%INLINEQ%","33.61%","1"
"5","Aneta Figiel","%INLINEQ%Myśl o tobie%INLINEQ%","9.06%","4"
"6","Nefer","%INLINEQ%Chciałem zostać sam!%INLINEQ%","5.97%","6"
"7","ZoSia","%INLINEQ%To, co czuję (Jak ptak)%INLINEQ%","3.04%","9"
"8","Anna Cyzon","%INLINEQ%Love Me%INLINEQ%","15.13%","2"
"9","Sonic Lake","%INLINEQ%There Is a Way%INLINEQ%","3.44%","8"
"10","VIR","%INLINEQ%Sunrise%INLINEQ%","4.45%","7"
