"N°","Name","Age","Hometown","State"
"1","Catherine Williams","24","San Antonio","Texas"
"2","Yvonne Vega","25","New Braunfels","Texas"
"3","Jessica Bean","24","Casper","Wyoming"
"4","Alexandra Miller","26","Oklahoma City","Oklahoma"
"5","Ivana Thomas","22","Durham","North Carolina"
"6","Amanda Bell","24","Nashville","Tennessee"
"7","Kaitlyn Smith","26","Jacksonville Beach","Florida"
"8","Molly Vierhile","23","San Francisco","California"
"9","Niki Kafashzadeh","24","Rockville","Maryland"
"10","Bridgette Garb","21","Oak Park","California"
