"No","Year","Film","Actors","Director","Note"
"1","1986","Driver Babu","Sobhan Babu, Radha","Boyina Subba Rao",""
"2","1987","Makutamleni Maharaju","Krishna, Sridevi","Kovelamudi Bapayya",""
"3","1988","Chattam Toh Chadarangam","Sobhan Babu, Arjun Sarja, Sharada, Kalpana","K.Murali Mohan Rao",""
"4","1989","Ontari Poratam","Daggubati Venkatesh, Mohan Babu, Jayasudha, Brahmanandam","Kovelamudi Raghavendra Rao",""
"5","1990","Dagudu Moothala Dampathyam","Akkineni Nageswara Rao, Rajendra Prasad, Ramya Krishnan","Relangi Narasimha Rao",""
"6","1996","Adirindi Alludu","Mohan Babu, Ramya Krishnan","E. V. V. Satyanarayana",""
"7","2003","Ee Abbai Chala Manchodu","Ravi Teja, Sangeetha, Vani","Agathiyan",""
"8","2005","Chatrapathi","Prabhas, Shriya Saran","S. S. Rajamouli",""
"9","2006","Khatarnak","Ravi Teja, Ileana D'Cruz","Amma Rajasekhar",""
"10","2009","Arya 2","Allu Arjun, Kajal Aggarwal, Navdeep","Sukumar",""
"11","2010","Darling","Prabhas, Kajal Aggarwal","A. Karunakaran",""
"12","2011","Oosaravelli","N. T. Rama Rao Jr., Tamannaah Bhatia","Surender Reddy",""
"13","2012","Devudu Chesina Manushulu","Ravi Teja, Ileana D'Cruz","Puri Jagannadh",""
"14","2013","Ongole Gitta","Ram Pothineni, Kriti Kharbanda","Bhaskar",""
"15","2013","Sahasam","Gopichand, Tapsee Pannu","Chandra Sekhar Yeleti",""
"16","2013","Attarintiki Daredi","Pawan Kalyan, Samantha, Pranitha","Trivikram Srinivas",""
"17","2015","Dohchay","Naga Chaitanya, Kriti Sanon","Sudheer Varma",""
"18","2016","Nannaku Prematho","N. T. Rama Rao Jr., Rakul Preet Singh, Jagapati Babu, Rajendra Prasad","Sukumar",""
"19","2016","Intlo Deyyam Nakem Bhayam","Allari Naresh, Kruthika Jayakumar, Mouryani, Rajendra Prasad","G. Nageswara Reddy",""
"20","2017","Radha","Sharwanand, Lavanya Tripathi","Chandra Mohan",""
"21","2018","Toli Prema","Varun Tej, Raashi Khanna","Venky Atluri",""
"22","2019","Mr. Majnu","Akhil Akkineni, Nidhhi Agerwal","Venky Atluri",""
"23","2019","Bowler","bunny,Megha Akash","ram talluri",""
