"Inducted","Name","Position","Everton playing career","Everton managerial career","Appearances","Goals"
"2017","Roy Vernon","FW","1960–65","","176","101"
"2016","Tommy Wright","FB","1964–74","","373","4"
"2015","Mick Lyons","DF","1971–82","","390","48"
"2014","Bobby Collins","FW","1958–62","","133","42"
"2013","Derek Temple","FW","1957–67","","234","72"
"2012","Brian Labone","CB","1958–71","","451","2"
"2011","Duncan Ferguson","FW","1994–98, 2000–06","","240","62"
"2010","Trevor Steven","MF","1983–89","","210","48"
"2009","Harry Catterick","FW","1946–51","1961–1973","59","19"
"2008","Gordon West","GK","1962–72","","402","0"
"2007","Colin Harvey","MF","1963–74","1987–1990","384","24"
"2006","Peter Reid","MF","1982–89","","234","13"
"2005","Graeme Sharp","FW","1979–91","","447","159"
"2004","Joe Royle","FW","1966–74","1994–97","275","119"
"2003","Kevin Ratcliffe","CB","1980–91","","461","2"
"2002","Ray Wilson","LB","1964–68","","151","0"
"2001","Alan Ball","MF","1966–71","","251","79"
"2000","Howard Kendall","MF","1966–74, 1981","1981–87, 1990–93, 1997–98","274","30"
"2000","Dave Watson","CB","1986–99","1997","522","38"
"2000","Neville Southall","GK","1981–97","","751","0"
"2000","Bob Latchford","FW","1973–80","","286","138"
"2000","Alex Young","FW","1960–67","","272","89"
"2000","Dave Hickson","FW","1951–59","","243","111"
"2000","T. G. Jones","CB","1936–49","","178","5"
"2000","Ted Sagar","GK","1929–52","","500","0"
"2000","Dixie Dean","FW","1924–37","","433","383"
"2000","Sam Chedgzoy","MF","1910–25","","300","36"
"2000","Jack Sharp","MF","1899–09","","342","80"
