"#","Run","Title","Chapters","Author","Director","Ibope Rating"
"59","June 5, 2000— February 2, 2001","Laços de Família","209","Manoel Carlos","Ricardo Waddington","44.9"
"60","February 5, 2001— September 28, 2001","Porto dos Milagres","203","Aguinaldo Silva Ricardo Linhares","Marcos Paulo Simões","44.6"
"61","October 1, 2001— June 14, 2002","O Clone","221","Glória Perez","Jayme Monjardim","47.0"
"62","June 17, 2002— February 14, 2003","Esperança","209","Benedito Ruy Barbosa","Luiz Fernando","37.7"
"63","February 17, 2003— October 10, 2003","Mulheres Apaixonadas","203","Manoel Carlos","Ricardo Waddington","46.6"
"64","October 13, 2003— June 25, 2004","Celebridade","221","Gilberto Braga","Dennis Carvalho","46.0"
"65","June 28, 2004— March 11, 2005","Senhora do Destino","221","Aguinaldo Silva","Wolf Maya","50.4"
"66","March 14, 2005— November 4, 2005","América","203","Glória Perez","Jayme Monjardim Marcos Schechtman","49.4"
"67","November 7, 2005— July 7, 2006","Belíssima","209","Sílvio de Abreu","Denise Saraceni","48.5"
"68","July 10, 2006— March 2, 2007","Páginas da Vida","203","Manoel Carlos","Jayme Monjardim","46.8"
"69","March 5, 2007— September 28, 2007","Paraíso Tropical","179","Gilberto Braga Ricardo Linhares","Dennis Carvalho","42.8"
"70","October 1, 2007— May 31, 2008","Duas Caras","210","Aguinaldo Silva","Wolf Maya","41.1"
"71","June 2, 2008— January 16, 2009","A Favorita","197","João Emanuel Carneiro","Ricardo Waddington","39.5"
"72","January 19, 2009— September 11, 2009","Caminho das Índias","203","Glória Perez","Marcos Schechtman","38.8"
"73","September 14, 2009— May 14, 2010","Viver a Vida","209","Manoel Carlos","Jayme Monjardim","35.6"
