"SCHOOL","2013 API","2012 API","2011 API","2010 API","2009 API","2008 API","2007 API","2006 API","2005 API"
"Almond Elementary","955","954","966","962","962","964","964","971","967"
"Covington Elementary","974","981","983","980","946","950","928","938","963"
"Gardner Bullis Elementary","947","958","964","957","968","n/a","n/a","n/a","n/a"
"Loyola Elementary","954","965","964","963","966","970","972","965","965"
"Oak Avenue Elementary","987","983","983","980","983","978","969","982","964"
"Santa Rita Elementary","941","956","957","964","966","956","952","957","939"
"Springer Elementary","955","961","946","954","963","956","948","961","960"
"Georgina P. Blach Junior High","958","968","971","964","944","931","950","952","952"
"Ardis G. Egan Junior High","976","979","978","968","954","958","958","961","947"
"AVERAGE","961","968","969","965","959","956","954","960","949"
