"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Northwestern","Pappy Waldorf","#7","#1","7–1","6–0","16.5","9.1","Steve Reid"
"2 (tie)","Minnesota","Bernie Bierman","#1","#1","7-1","4-1","25.4","4.0","Ed Widseth"
"2 (tie)","Ohio State","Francis Schmidt","NR","#18","5–3","4–1","20.0","3.4","Ralph Wolfe"
"4 (tie)","Indiana","Bo McMillin","NR","NR","5–2–1","3–1–1","5.4","7.9","Vern Huffman"
"4 (tie)","Purdue","Noble Kizer","NR","#5","5–2–1","3–1–1","19.6","11.9","John Drake"
"6","Illinois","Robert Zuppke","NR","NR","4–3–1","2–2–1","7.1","9.5","Cliff Kuhn"
"7","Chicago","Clark Shaughnessy","NR","NR","2–5–1","1–4","8.5","20.8","Sam Whiteside"
"8","Iowa","Ossie Solem","NR","NR","3–4–1","0–4–1","10.6","12.9","Homer Harris"
"9","Wisconsin","Harry Stuhldreher","NR","#16","2–6","0–4","11.9","18.0","Eddie Jankowski"
"10","Michigan","Harry Kipke","NR","NR","1–7","0–5","4.5","15.9","Matt Patanelli"
