"Year","Winner","Age","Jockey","Trainer","Owner","Time"
"2017","Ikerrin Road (IRE)","4","David Moran","Vito Armata","Alpine Stable","1:15.40"
"2016","Puntrooskie","5","Patrick Husbands","Donald MacRae","Lay, Loughry and D Mac Racing Stable","1:16.06"
"2015","Stacked Deck","4","Luis Saez","Barbara J. Minshall","Bruce Lunsford","1:14.75"
"2014","Calgary Cat","4","Eurico Rosa Da Silva","Kevin Attard","Chesney/Hoffman","1:14.91"
"2013","Essence Hit Man","6","Jesse M. Campbell","Larry Cappuccitti","A & G Racing","1:15.46"
"2012","Essence Hit Man","5","Jesse M. Campbell","Audre Cappuccitti","Cappuccitti/Audre/Gordon","1:15.82"
"2011","Hollywood Hit","5","James McAleney","Terry Jordan","Peter Redekop B C., Ltd.","1:14.76"
"2010","Smokey Fire","5","Emma-Jayne Wilson","Sid C. Attard","Jim Dandy Stable","1:15.78"
"2009","Fatal Bullet","4","Eurico Rosa da Silva","Reade Baker","Bear Stables","1:14.90"
"2008","Fatal Bullet","3","Eurico Rosa da Silva","Reade Baker","Bear Stables","1:14.54"
"2007","Gangster","6","Todd Kabel","Sid C. Attard","Goldmart Farms","1:16.02"
