"Season","Series","Team Name","Races","Wins","Poles","F/Laps","Podiums","Points","Position"
"2006","Thunder Arabia Middle Eastern Series","Thunder Arabia","14","0","1","–","6","153","3rd"
"2007","Eurocup Formula Renault 2.0","Carlin Motorsport","8","0","0","0","0","–","–"
"2007","Formula Renault 2.0 UK - Winter Series","Carlin Motorsport","4","0","0","0","0","–","–"
"2009","British Formula Three – National Class","Carlin Motorsport","4","0","0","0","3","39","5th"
"2010-11","UAE GT Championship – GTC Class","Gulf Sport Racing","8","1","1","0","5","50","1st"
"2011–12","Trofeo Maserati – Middle East","Leisure Racing","12","6","7","0","8","214","1st"
"2011-12","Formula Gulf 1000","Orient Racing","14","8","5","2","12","100","1st"
"2012","Trofeo Maserati – European Series","Leisure Racing","3","0","1","1","03","43","16th"
"2012","Formula Renault 2.0 BARC Championship","Mtech Lite","11","0","0","0","0","36","23rd"
"2012","Formula Renault 2.0 BARC Winter Series","Mtech Lite","4","0","0","0","0","30","13th"
"2013","Formula Renault 2.0 UK Championship","Mtech Lite","14","0","0","0","1","166","7th"
