"Draw","Country","Artist","Song","Language","Place","Points"
"01","Yugoslavia","Baby Doll","%INLINEQ%Brazil%INLINEQ% (Бразил)","Serbo-Croatian","21","1"
"02","Iceland","Stefán & Eyfi","%INLINEQ%Nína%INLINEQ%","Icelandic","15","26"
"03","Malta","Georgina & Paul Giordimaina","%INLINEQ%Could It Be%INLINEQ%","English","6","106"
"04","Greece","Sophia Vossou","%INLINEQ%I anixi%INLINEQ% (Η άνοιξη)","Greek","13","36"
"05","Switzerland","Sandra Simó","%INLINEQ%Canzone per te%INLINEQ%","Italian","5","118"
"06","Austria","Thomas Forstner","%INLINEQ%Venedig im Regen%INLINEQ%","German","22","0"
"07","Luxembourg","Sarah Bray","%INLINEQ%Un baiser volé%INLINEQ%","French","14","29"
"08","Sweden","Carola","%INLINEQ%Fångad av en stormvind%INLINEQ%","Swedish","1","146"
"09","France","Amina","%INLINEQ%C'est le dernier qui a parlé qui a raison%INLINEQ%","French","2","146"
"10","Turkey","İzel Çeliköz, Reyhan Karaca & Can Uğurluer","%INLINEQ%İki Dakika%INLINEQ%","Turkish","12","44"
"11","Ireland","Kim Jackson","%INLINEQ%Could It Be That I'm In Love%INLINEQ%","English","10","47"
"12","Portugal","Dulce Pontes","%INLINEQ%Lusitana paixão%INLINEQ%","Portuguese","8","62"
"13","Denmark","Anders Frandsen","%INLINEQ%Lige der hvor hjertet slår%INLINEQ%","Danish","19","8"
"14","Norway","Just 4 Fun","%INLINEQ%Mrs. Thompson%INLINEQ%","Norwegian","17","14"
"15","Israel","Duo Datz","%INLINEQ%Kan%INLINEQ% (כאן)","Hebrew","3","139"
"16","Finland","Kaija Kärkinen","%INLINEQ%Hullu yö%INLINEQ%","Finnish","20","6"
"17","Germany","Atlantis 2000","%INLINEQ%Dieser Traum darf niemals sterben%INLINEQ%","German","18","10"
"18","Belgium","Clouseau","%INLINEQ%Geef het op%INLINEQ%","Dutch","16","23"
"19","Spain","Sergio Dalma","%INLINEQ%Bailar pegados%INLINEQ%","Spanish","4","119"
"20","United Kingdom","Samantha Janus","%INLINEQ%A Message to Your Heart%INLINEQ%","English","10","47"
"21","Cyprus","Elena Patroklou","%INLINEQ%SOS%INLINEQ%","Greek","9","60"
"22","Italy","Peppino di Capri","%INLINEQ%Comme è ddoce 'o mare%INLINEQ%","Neapolitan","7","89"
