"#","Event year","Season","Flag bearer","Sport"
"10","2016","Summer","Bunturabie Jalloh","Swimming"
"9","2012","Summer","Ola Sesay","Athletics"
"8","2008","Summer","Solomon Bayoh","Athletics"
"7","2004","Summer","Hawanatu Bangura","Athletics"
"6","2000","Summer","Ekundayo Williams","Athletics"
"5","1996","Summer","Eunice Barber","Athletics"
"4","1988","Summer","Baba Ibrahim Suma-Keita","Athletics"
"3","1984","Summer","David Sawyerr","Athletics"
"2","1980","Summer","",""
"1","1968","Summer","John Coker","Boxing"
