"#","Opponent","Round","Attendance","Result"
"1","Central Coast Mariners","1","18,457","L 1–0"
"2","Adelaide United","2","14,233","D 2–2"
"3","Wellington Phoenix","4","11,491","L 1–2"
"4","Newcastle United Jets","6","13,755","W 1–0"
"5","Melbourne Victory","7","18,436","L 0–1"
"6","Adelaide United","9","12,922","L 0–1"
"7","Central Coast Mariners","10","17,652","W 3–2"
"8","Queensland Roar","14","16,659","D 0–0"
"9","Los Angeles Galaxy","Exhibition","80,295","W 5–3"
"10","Newcastle United Jets","16","10,732","W 1–0"
"11","Perth Glory","17","12,402","L 2–4"
"12","Melbourne Victory","21","33,458","D 2–2"
"13","Queensland Roar","Semi-final","23,450","D 0–0"
