"","Season","City","Stadium","Winner",""
"1","1995","Vojens","Speedway Center","Denmark Hans Nielsen","result"
"2","1996","Vojens","Speedway Center","United States Billy Hamill","result"
"3","1997","Vojens","Speedway Center","United Kingdom Mark Loram","result"
"4","1998","Vojens","Speedway Center","Denmark Hans Nielsen","result"
"5","1999","Vojens","Speedway Center","Sweden Tony Rickardsson","result"
"6","2000","Vojens","Speedway Center","United States Greg Hancock","result"
"7","2001","Vojens","Speedway Center","Sweden Tony Rickardsson","result"
"8","2002","Vojens","Speedway Center","Sweden Tony Rickardsson","result"
"9","2003","Copenhagen","Parken Stadium","Australia Jason Crump","result"
"10","2004","Copenhagen","Parken Stadium","Australia Jason Crump","result"
"11","2005","Copenhagen","Parken Stadium","Sweden Tony Rickardsson","result"
"12","2006","Copenhagen","Parken Stadium","Denmark Hans Andersen","result"
"13","2007","Copenhagen","Parken Stadium","Sweden Andreas Jonsson","result"
"14","2008","Copenhagen","Parken Stadium","Poland Tomasz Gollob","result"
"15","2009","Copenhagen","Parken Stadium","Australia Jason Crump","result"
"16","2010","Copenhagen","Parken Stadium","Poland Jarosław Hampel","result"
"17","2011","Copenhagen","Parken Stadium","Poland Tomasz Gollob","result"
"18","2012","Copenhagen","Parken Stadium","Australia Jason Crump","result"
"19","2013","Copenhagen","Parken Stadium","Australia Darcy Ward","result"
"20","2014","Copenhagen","Parken Stadium","Denmark Niels-Kristian Iversen","result"
"21","2015","Horsens","CASA Arena","Denmark Peter Kildemand","result"
"22","2016","Horsens","CASA Arena","Poland Maciej Janowski","result"
"23","2017","Horsens","CASA Arena","Poland Maciej Janowski","result"
"24","2018","Horsens","CASA Arena","United Kingdom Tai Woffinden","result"
"25","2019","Vojens","Speedway Center","","result"
