"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Michigan State","Duffy Daugherty","#2","#1","9–0–1","7–0","29.3","9.9","George Webster"
"2","Purdue","Jack Mollenkopf","#7","#7","9–2","6–1","27.0","14.0","Bob Griese"
"3 (tie)","Michigan","Bump Elliott","NR","#8","6–4","4–3","23.6","13.8","Jack Clancy"
"3 (tie)","Illinois","Pete Elliott","NR","NR","4–6","4–3","17.3","19.3","Ron Guenther"
"5","Minnesota","Murray Warmath","NR","NR","4–5–1","3–3–1","12.4","16.0","Tim Wheeler"
"6","Ohio State","Woody Hayes","NR","NR","4–5","3–4","12.0","13.7","Ray Pryor"
"7 (tie)","Northwestern","Alex Agase","NR","NR","3–6–1","2–4–1","13.7","21.3","Roger Murphy"
"7 (tie)","Wisconsin","Milt Bruhn","NR","NR","3–6–1","2–4–1","8.7","21.2","Bob Richter"
"9","Indiana","John Pont","NR","NR","1–8–1","1–5–1","10.4","22.9","Frank Stavroff"
"10","Iowa","Ray Nagel","NR","NR","2–8","1–6","8.6","25.3","Dick Gibbs"
