"#","Event year","Season","Flag bearer","Sport"
"13","2018","Winter","Samková, EvaEva Samková","Snowboarding"
"12","2016","Summer","Lukáš Krpálek","Judo"
"11","2014","Winter","Strachová, ŠárkaŠárka Strachová","Alpine skiing"
"10","2012","Summer","Koukal, PetrPetr Koukal","Badminton"
"9","2010","Winter","Jágr, JaromírJaromír Jágr","Ice hockey"
"8","2008","Summer","Hilgertová, ŠtěpánkaŠtěpánka Hilgertová","Canoe slalom"
"7","2006","Winter","Sáblíková, MartinaMartina Sáblíková","Speed skating"
"6","2004","Summer","Svoboda, KvětoslavKvětoslav Svoboda","Swimming"
"5","2002","Winter","Valenta, AlešAleš Valenta","Freestyle skiing"
"4","2000","Summer","Doktor, MartinMartin Doktor","Canoe sprint"
"3","1998","Winter","Buchta, LubošLuboš Buchta","Cross-country skiing"
"2","1996","Summer","Chalupa, VáclavVáclav Chalupa","Rowing"
"1","1994","Winter","Benc, PavelPavel Benc","Cross-country skiing"
