"Rank","Name","Image","Height feet / meters","Floors (Stories)","Year Completed"
"1","Broadway Plaza","BridgeStreetBroadwayRochesterMN.JPG","342 / 104","29","2004"
"2","Gonda Building","-","305 / 93","21","2001"
"3","Plummer Building","-","298 / 91","19","1928"
"4","Mayo Building","MayoClinic&MedSchool2006-05-07.JPG","295 / 90","20","1955, expanded 1970"
"5","Hilton Downtown Rochester","","265 / 81","20","2019"
"6","Guggenheim Building","MayoClinicGuggenheimBldg.JPG","258 / 78","21","1974"
"7","Siebens Building","-","220 / 67","14","1989"
"8","Stabile Building","","211 / 64","13","2006"
"9","Center Plaza","","190 / 58","16","1969"
"10","Eisenberg Building","RochesterMethodistHospital.JPG","169 / 52","12","1966"
"11","Charlton Building","","163 / 50","10",""
"12","The Kahler Grand Hotel","KahlerHotel.JPG","154 / 47","12","1921"
"13","Minnesota Bio Business Center","","130 / 40","8","2009"
