"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Ohio State","Woody Hayes","#5","#1","9–1","7–0","29.0","12.0","Jim Stillwagon"
"2 (tie)","Michigan","Bo Schembechler","#9","#4","9–1","6–1","28.8","9.0","Don Moorhead Henry Hill"
"2 (tie)","Northwestern","Alex Agase","NR","#18","6-4","6-1","23.3","16.1","Mike Adamle"
"4","Iowa","Ray Nagel","NR","NR","3–6–1","3–3–1","12.9","25.9","Dave Clement"
"5 (tie)","Wisconsin","John Jardine","NR","NR","4–5–1","3–4","19.8","19.5","Chuck Winfrey"
"5 (tie)","Michigan State","Duffy Daugherty","NR","NR","4–6","3–4","19.0","21.5","Eric Allen"
"7","Minnesota","Murray Warmath","NR","NR","3–6–1","2–4–1","18.0","23.7","Jeff Wright"
"8","Purdue","Bob DeMoss","NR","NR","4–6","2–5","16.1","18.9","Stan Brown"
"9 (tie)","Illinois","Jim Valek","NR","NR","3–7","1–6","16.5","27.9","Doug Dieken"
"9 (tie)","Indiana","John Pont","NR","NR","1–9","1–6","10.2","30.0","Chris Morris"
