"#","Country","Artist","Song","Place","Points"
"1","Bolivia","Óscar Roca","Por esas cosas te amo","17","0"
"2","El Salvador","Eduardo Fuentes","Trataré de olvidarte","17","0"
"3","Peru","Gladys Mercado","Qué lindo es el amor","10","3"
"4","Chile","Osvaldo Díaz","Las puertas del mundo","5","5"
"5","Spain Spain","Cecilia","Amor de medianoche","2","14"
"6","Brazil","Raphael","Deseo","8","4"
"7","Argentina","Marty Cosens","Dos habitantes","10","3"
"8","Guatemala","Mario Vides","Vivirás pensando en alguien más","14","2"
"9","Nicaragua","Mauricio Peña","Quiero agradecer al mundo","8","4"
"10","United States","José Antonio","Para ganar tu corazón","5","5"
"11","Puerto Rico","Los Hispanos","Dónde vas, amigo","5","5"
"12","Netherlands AntillesAntillas Neerlandesas","George Willems","Una flor en el balcón","10","3"
"13","Colombia","Leonor González Mina","Campesino de ciudad","3","10"
"14","Uruguay","Ricardo Montaña","Quiero nacer","10","3"
"15","Venezuela","Mirla Castellanos","Soy como el viento, soy como el mar","3","10"
"16","Mexico","Gualberto Castro","La felicidad","1","20"
"17","Dominican Republic","Luchi Vicioso","La vida está intranquila","14","2"
"18","Ecuador","Miriam Constante","Quiero componer el mundo con mis manos","17","0"
"19","Panama","Pablo Azael","Tú y yo","14","2"
