"Model","Qty","Built","First in","Last out","Ref(s)"
"Luscombe 8 Silvaire","1","1947","1955","1956",""
"Republic RC-3 Seabee","3","1946–47","1957","1965",""
"Fairchild PT-19-FA Cornell","1","1941","1960","1965",""
"Grumman G-44 Widgeon","1","1943","1960","1970",""
"Piper PA-22 Tri-Pacer","2","1958–60","1962","1966",""
"Cessna 185D","1","1964","1964","1969",""
"Maule M-4-210 Rocket","1","1966","1966","1968",""
"Bell 47G-4","2","1960–64","1966","1975",""
"Augusta Bell 206","2","1968","1968","1981",""
"Cessna U.206C","1","1968","1969","1980",""
"Bell 204B","1","1971","1972","1989",""
"Piper PA-31 Navajo","1","1974","1976","1986",""
"Messerschmitt-Bölkow-Blohm Bo 105","1","1974","1978","1978",""
"Bell 214B-1","1","1979","1980","1992",""
"Cessna 441 Conquest II","1","1980–81","1981","1990",""
"Aérospatiale SA 315B Lama","1","1983","1983","1985",""
"Bell 205A-1","4","1976–79","1985","1993",""
"Aérospatiale SA350B-1 Écureuil","7","1978–89","1979","1995",""
"Beechcraft Super King Air 200","13","1977–93","1986","1995",""
"Aérospatiale SA365N Dauphin 2","1","1984","1987","1995",""
"Aérospatiale SA332 Super Puma","3","1984–91","1989","1995",""
