"Pos","No.","Driver","Team","Manufacturer","Time","Speed"
"1","11","Denny Hamlin","Joe Gibbs Racing","Toyota","1:51.227","145.648"
"2","16","Greg Biffle","Roush Fenway Racing","Ford","1:52.000","144.643"
"3","2","Brad Keselowski","Team Penske","Ford","1:52.228","144.349"
"4","15","Clint Bowyer","Michael Waltrip Racing","Toyota","1:52.300","144.256"
"5","5","Kasey Kahne","Hendrick Motorsports","Chevrolet","1:52.794","143.625"
"6","10","Danica Patrick","Stewart-Haas Racing","Chevrolet","1:52.893","143.499"
"7","88","Dale Earnhardt Jr.","Hendrick Motorsports","Chevrolet","1:53.121","143.209"
"8","43","Aric Almirola","Richard Petty Motorsports","Ford","1:53.220","143.084"
"9","24","Jeff Gordon","Hendrick Motorsports","Chevrolet","1:53.223","143.080"
"10","19","Carl Edwards","Joe Gibbs Racing","Toyota","1:53.382","142.880"
"11","22","Joey Logano","Team Penske","Ford","1:53.664","142.525"
"12","48","Jimmie Johnson","Hendrick Motorsports","Chevrolet","1:53.706","142.473"
"13","47","A. J. Allmendinger","JTG Daugherty Racing","Chevrolet","1:53.764","142.400"
"14","1","Jamie McMurray","Chip Ganassi Racing","Chevrolet","1:54.024","142.075"
"15","14","Tony Stewart","Stewart-Haas Racing","Chevrolet","1:54.144","141.926"
"16","41","Kurt Busch","Stewart-Haas Racing","Chevrolet","1:54.934","140.950"
"17","20","Matt Kenseth","Joe Gibbs Racing","Toyota","1:55.578","140.165"
"18","31","Ryan Newman","Richard Childress Racing","Chevrolet","1:57.880","137.428"
"19","18","Kyle Busch","Joe Gibbs Racing","Toyota","2:00.466","134.748"
"20","4","Kevin Harvick","Stewart-Haas Racing","Chevrolet","2:04.769","129.840"
