"Draw","Country","Artist","Song","Language","Place","Points"
"01","Lithuania","Aistė","%INLINEQ%Strazdas%INLINEQ%","Samogitian","20","13"
"02","Belgium","Vanessa Chinitor","%INLINEQ%Like the Wind%INLINEQ%","English","12","38"
"03","Spain","Lydia","%INLINEQ%No quiero escuchar%INLINEQ%","Spanish","23","1"
"04","Croatia","Doris Dragović","%INLINEQ%Marija Magdalena%INLINEQ%","Croatian","4","118"
"05","United Kingdom","Precious","%INLINEQ%Say It Again%INLINEQ%","English","12","38"
"06","Slovenia","Darja Švajger","%INLINEQ%For a Thousand Years%INLINEQ%","English","11","50"
"07","Turkey","Tuğba Önal & Grup Mistik","%INLINEQ%Dön Artık%INLINEQ%","Turkish","16","21"
"08","Norway","Stig Van Eijk","%INLINEQ%Living My Life Without You%INLINEQ%","English","14","35"
"09","Denmark","Trine Jepsen & Michael Teschl","%INLINEQ%This Time I Mean It%INLINEQ%","English","8","71"
"10","France","Nayah","%INLINEQ%Je veux donner ma voix%INLINEQ%","French","19","14"
"11","Netherlands","Marlayne","%INLINEQ%One Good Reason%INLINEQ%","English","8","71"
"12","Poland","Mietek Szcześniak","%INLINEQ%Przytul mnie mocno%INLINEQ%","Polish","18","17"
"13","Iceland","Selma","%INLINEQ%All Out of Luck%INLINEQ%","English","2","146"
"14","Cyprus","Marlain","%INLINEQ%Tha'nai Erotas%INLINEQ% (Θα'ναι έρωτας)","Greek","22","2"
"15","Sweden","Charlotte Nilsson","%INLINEQ%Take Me to Your Heaven%INLINEQ%","English","1","163"
"16","Portugal","Rui Bandeira","%INLINEQ%Como tudo começou%INLINEQ%","Portuguese","21","12"
"17","Ireland","The Mullans","%INLINEQ%When You Need Me%INLINEQ%","English","17","18"
"18","Austria","Bobbie Singer","%INLINEQ%Reflection%INLINEQ%","English","10","65"
"19","Israel","Eden","%INLINEQ%Yom Huledet (Happy Birthday)%INLINEQ% (יום הולדת)","English, Hebrew","5","93"
"20","Malta","Times Three","%INLINEQ%Believe 'n Peace%INLINEQ%","English","15","32"
"21","Germany","Sürpriz","%INLINEQ%Reise nach Jerusalem – Kudüs'e seyahat%INLINEQ%","German, Turkish, English, Hebrew","3","140"
"22","Bosnia and Herzegovina","Dino & Béatrice","%INLINEQ%Putnici%INLINEQ%","Bosnian, French","7","86"
"23","Estonia","Evelin Samuel & Camille","%INLINEQ%Diamond of Night%INLINEQ%","English","6","90"
