"","Album","Artist(s)","Sales","Reference(s)"
"1","Seili","Jenni Vartiainen","95,394",""
"2","Hirmuliskojen yö","Hevisaurus","36,106",""
"3","Iholla","Lauri Tähkä & Elonkerjuu","35,666",""
"4","Rakkaus päällemme sataa","Suvi Teräsniska","33,250",""
"5","Vapaa ja yksin","Chisu","30,309",""
"6","Sahara","Anna Puu","29,681",""
"7","Iron Man 2","AC/DC","25,022",""
"8","Pimeä onni","Jippu & Samuli Edelmann","24,207",""
"9","Strike!","The Baseballs","23,047",""
"10","The Final Frontier","Iron Maiden","22,510",""
