"Place","Name","Championship","League Cup","FA Cup","Total"
"1","Brett Pitman","10","1","0","11"
"2","Daryl Murphy","10","0","0","10"
"3","Ryan Fraser","4","1","1","6"
"3=","Freddie Sears","6","0","0","6"
"5","David McGoldrick","4","1","0","5"
"6","Luke Chambers","3","0","0","3"
"6=","Jonathan Douglas","3","0","0","3"
"8","Kevin Bru","2","0","0","2"
"8=","Ainsley Maitland-Niles","1","0","1","2"
"8=","Ben Pringle","2","0","","2"
"8=","Tommy Smith","2","0","0","2"
"12","Jonathan Parr","1","0","0","1"
"12=","Josh Yorwerth","0","1","0","1"
"12=","Jay Tabb","0","1","0","1"
"12=","James Alabi","0","1","0","1"
"12=","Christophe Berra","1","0","0","1"
"12=","Andre Dozzell","1","0","0","1"
"12=","Liam Feeney","1","0","0","1"
"12=","Jonas Knudsen","1","0","0","1"
"12=","Tommy Oar","0","0","1","1"
"12=","Luke Varney","1","0","0","1"
