"No. overall","No. in season","Title","Original air date","U.S. viewers (millions)"
"149","1","%INLINEQ%Wives and Misdemeanors%INLINEQ%","November 7, 2018","1.18"
"150","2","%INLINEQ%Easter Wives Hunt%INLINEQ%","November 14, 2018","1.01"
"151","3","%INLINEQ%The Jersey Breakfast Club%INLINEQ%","November 21, 2018","0.92"
"152","4","%INLINEQ%Housewives & Heifers%INLINEQ%","November 28, 2018","1.13"
"153","5","%INLINEQ%Turkish Delights%INLINEQ%","December 5, 2018","1.15"
"154","6","%INLINEQ%Last Fling Before the Ring%INLINEQ%","December 12, 2018","1.00"
"155","7","%INLINEQ%Brunch Gone Bad%INLINEQ%","December 19, 2018","1.18"
"156","8","%INLINEQ%Bridezilla of Bimini%INLINEQ%","December 30, 2018","1.37"
"157","9","%INLINEQ%Communion and Confession%INLINEQ%","January 2, 2019","1.18"
"158","10","%INLINEQ%From Turkey with Love%INLINEQ%","January 9, 2019","1.28"
"159","11","%INLINEQ%Whine Country%INLINEQ%","January 16, 2019","1.12"
"160","12","%INLINEQ%Mudslinging in Mexico%INLINEQ%","January 23, 2019","1.32"
"161","13","%INLINEQ%Camels, Cabo & Catfights%INLINEQ%","January 30, 2019","1.40"
"162","14","%INLINEQ%Heroines in Heels%INLINEQ%","February 6, 2019","1.31"
"163","15","%INLINEQ%Hotheads and Hookahs%INLINEQ%","February 13, 2019","1.20"
"164","16","%INLINEQ%Reunion Part 1%INLINEQ%","February 20, 2019","1.36"
"165","17","%INLINEQ%Reunion Part 2%INLINEQ%","February 27, 2019","1.36"
"166","18","%INLINEQ%Reunion Part 3%INLINEQ%","March 6, 2019","TBD"
