"Year","Time","Windspeed","City","Date"
"2004","10.56","2.0 m/s","Spanish Town","June 12"
"2005","10.69","0.5 m/s","Kingston","June 24"
"2006","10.20","−1.6 m/s","Spanish Town","June 4"
"2007","10.11","1.0 m/s","Kingston","June 23"
"2008","9.98","0.2 m/s","Lausanne","September 2"
"2009","9.91","2.0 m/s","Shanghai","September 20"
"2010","9.78","0.9 m/s","Rieti","August 29"
"2011","9.89","1.3 m/s","Brussels","September 16"
"2012","9.95","1.5 m/s","Kingston","June 29"
"2013","9.87","1.8 m/s","Madrid","July 13"
"2014","9.96","2.0 m/s","Stockholm","August 21"
"2015","9.98","1.8 m/s","Kingston","May 9"
"2018","10.07","1.7 m/s","Barranquilla","July 30"
