"Name","Country","From","To","Notes"
"Gordon Bradley","United States","1971","1975","Player-coach"
"Ken Furphy","England","1976","1976",""
"Gordon Bradley","United States","1976","1977",""
"Eddie Firmani","Italy","1977","1979",""
"Ray Klivecka","United States","1979","1979",""
"Júlio Mazzei","Brazil","1979","1980",""
"Hennes Weisweiler","West Germany","1980","1981","Joint with Özdenak"
"Yasin Özdenak","Turkey","1980","1981","Joint with Weisweiler"
"Júlio Mazzei","Brazil","1982","1983",""
"Eddie Firmani","Italy","1984","1984",""
"Hubert Birkenmeier","West Germany","1984","1984","Caretaker"
"Ray Klivecka","United States","1984","1985",""
