"#","Name","Date","Goals","Assists","Team","Venue","Opponent","Competition","Total Goals","Total Assists","Ref"
"1","South Korea Ko Jeong-woon","1998-09-05","42","40","Pohang Steelers","Pohang","Chunnam Dragons","K-League","55","48",""
"2","South Korea Kim Hyun-seok","1998-10-10","89","40","Ulsan Hyundai Horang-i","Pohang","Pohang Steelers","K-League","110","54",""
"3","South Korea Shin Tae-yong","2000-09-03","72","40","Seongnam Ilhwa Chunma","Mokdong","Bucheon SK","K-League","99","68",""
"4","South Korea Lee Sang-yoon","2001-04-29","70","40","Bucheon SK","Bucheon","Daejeon Citizen","K-League Cup","71","43",""
"5","South Korea Roh Sang-rae","2003-04-27","72","40","Daegu FC","Daegu","Busan I'cons","K-League","76","40",""
"6","South Korea Denis Laktionov","2003-08-27","45","40","Seongnam Ilhwa Chunma","Busan","Busan I'cons","K-League","57","59",""
"7","South Korea Kim Do-hoon","2005-08-31","113","40","Seongnam Ilhwa Chunma","Seongnam","Incheon United","K-League","114","41",""
"8","South Korea Woo Sung-yong","2007-10-22","109","40","Ulsan Hyundai Horang-i","Ulsan","Daejeon Citizen","K-League","116","43",""
"9","South Korea Kim Dae-eui","2010-05-29","51","40","Suwon Samsung Bluewings","Suwon","Gangwon FC","K-League Cup","51","41",""
"10","South Korea Kim Eun-jung","2010-08-28","91","40","Jeju United","Daejeon","Daejeon Citizen","K-League","120","55",""
"11","Brazil Eninho","2010-11-20","51","40","Jeonbuk Hyundai Motors","Jeonju","Gyeongnam FC","Championship","80","64",""
"12","South Korea Lee Dong-gook","2011-07-03","109","40","Jeonbuk Hyundai Motors","Jeonju","FC Seoul","K-League","154","55",""
"13","Colombia Mauricio Molina","2012-11-15","49","40","FC Seoul","Seoul","Ulsan Hyundai","K-League","59","55",""
"14","South Korea Hwang Jin-sung","2012-11-29","40","51","Pohang Steelers","Pohang","FC Seoul","K-League","47","58",""
