"No","Year","Title","Role","Language","Notes"
"1","1993","Major Chandrakanth","","Telugu","Child actor"
"2","1997","Adavilo Anna","","Telugu","Child actor"
"3","1998","Khaidhigaru","Raju","Telugu","Child actor"
"4","2004","Donga Dongadi","Vasu","Telugu","CineMAA Awards - Best Male Debut, Remake Of Thiruda Thirudi"
"5","2005","Political Rowdy","Himself","Telugu","Special Appearance"
"6","2005","Sri","Sri","Telugu",""
"7","2007","Raju Bhai","Raju Bhai","Telugu","Remake of Chithiram Pesuthadi"
"8","2008","Nenu Meeku Telusa...?","Adithya","Telugu","Dubbed in Tamil as Yennai Theriyuma"
"9","2009","Prayanam","Dhruv","Telugu",""
"10","2010","Bindaas","Ajay","Telugu","Nandi Special Jury Award"
"11","2010","Vedam","Vivek Chakravarthy","Telugu",""
"12","2010","Jhummandi Naadam","Balu","Telugu",""
"13","2012","Mr. Nookayya","Nookayya","Telugu",""
"14","2012","Uu Kodathara? Ulikki Padathara?","Manoj","Telugu",""
"15","2013","Potugadu","Govindu","Telugu",""
"16","2014","Pandavulu Pandavulu Thummeda","Ajay","Telugu",""
"17","2014","Current Theega","Raju","Telugu",""
"18","2015","Dongaata","Himself","Telugu","Special Appearance"
"19","2016","Shourya","Shourya","Telugu",""
"20","2016","Attack","Radha Krishna","Telugu",""
"21","2017","Gunturodu","","Telugu",""
"22","2017","Okkadu Migiladu","Surya","Telugu",""
