"Draw","Country","Artist","Song","Language","Place","Points"
"01","Norway","Kate Gulbrandsen","%INLINEQ%Mitt liv%INLINEQ%","Norwegian","9","65"
"02","Israel","Lazy Bums","%INLINEQ%Shir Habatlanim%INLINEQ% (שיר הבטלנים)","Hebrew","8","73"
"03","Austria","Gary Lux","%INLINEQ%Nur noch Gefühl%INLINEQ%","German","20","8"
"04","Iceland","Halla Margrét","%INLINEQ%Hægt og hljótt%INLINEQ%","Icelandic","16","28"
"05","Belgium","Liliane Saint-Pierre","%INLINEQ%Soldiers of Love%INLINEQ%","Dutch","11","56"
"06","Sweden","Lotta Engberg","%INLINEQ%Boogaloo%INLINEQ%","Swedish","12","50"
"07","Italy","Umberto Tozzi & Raf","%INLINEQ%Gente di mare%INLINEQ%","Italian","3","103"
"08","Portugal","Nevada","%INLINEQ%Neste barco à vela%INLINEQ%","Portuguese","18","15"
"09","Spain","Patricia Kraus","%INLINEQ%No estás solo%INLINEQ%","Spanish","19","10"
"10","Turkey","Seyyal Taner & Lokomotif","%INLINEQ%Şarkım Sevgi Üstüne%INLINEQ%","Turkish","22","0"
"11","Greece","Bang","%INLINEQ%Stop%INLINEQ% (Στοπ)","Greek","10","64"
"12","Netherlands","Marcha","%INLINEQ%Rechtop in de wind%INLINEQ%","Dutch","5","83"
"13","Luxembourg","Plastic Bertrand","%INLINEQ%Amour, amour%INLINEQ%","French","21","4"
"14","United Kingdom","Rikki","%INLINEQ%Only the Light%INLINEQ%","English","13","47"
"15","France","Christine Minier","%INLINEQ%Les mots d'amour n'ont pas de dimanche%INLINEQ%","French","14","44"
"16","Germany","Wind","%INLINEQ%Lass die Sonne in dein Herz%INLINEQ%","German","2","141"
"17","Cyprus","Alexia","%INLINEQ%Aspro-mavro%INLINEQ% (Άσπρο-μαύρο)","Greek","7","80"
"18","Finland","Vicky Rosti & Boulevard","%INLINEQ%Sata salamaa%INLINEQ%","Finnish","15","32"
"19","Denmark","Anne-Cathrine Herdorf & Bandjo","%INLINEQ%En lille melodi%INLINEQ%","Danish","5","83"
"20","Ireland","Johnny Logan","%INLINEQ%Hold Me Now%INLINEQ%","English","1","172"
"21","Yugoslavia","Novi fosili","%INLINEQ%Ja sam za ples%INLINEQ%","Serbo-Croatian","4","92"
"22","Switzerland","Carol Rich","%INLINEQ%Moitié, moitié%INLINEQ%","French","17","26"
