"Name","Party","Term Start","Term End","Residence","Governor(s) served under"
"George Brown","","1799","1800","S. Kingstown","Arthur Fenner"
"Samuel J. Potter","","1800","1803","S. Kingstown","Arthur Fenner"
"Paul Mumford","","1803","1805","Newport","Arthur Fenner"
"Isaac Wilbour","","1806","1807","Little Compton","Isaac Wilbour"
"Constant Taber","","1807","1808","Newport","James Fenner"
"Simeon Martin","","1808","1810","Newport","James Fenner"
"Isaac Wilbour","","1810","1811","Little Compton","James Fenner"
"Simeon Martin","","1811","1816","Newport","William Jones"
"Jeremiah Thurston","","1816","1817","Hopkinton","William Jones"
"Edward Wilcox","","1817","1821","Charlestown","Nehemiah R. Knight"
"Caleb Earle","","1821","1824","Providence","William C. Gibbs"
"Charles Collins","","1824","1833","Newport","James Fenner Lemuel H. Arnold"
"Jeffrey Hazard","","1833","1835","Exeter","John B. Francis"
"George Engs","","1835","1836","Newport","John B. Francis"
"Jeffrey Hazard","","1836","1837","Exeter","John B. Francis"
"Benjamin Babock Thurston","","1837","1838","Hopkinton","John B. Francis"
"Joseph Childs","","1838","1839","Portsmouth","William Sprague III"
"Byron Diman","","1840","1842","Bristol","Samuel Ward King"
"Nathaniel Bullock","","1842","1843","Bristol","Thomas Dorr"
