"Season","Team","Country","Division","Apps","Goals"
"1999-00","MFK Dubnica","Slovakia","1","0","0"
"2000–01","MFK Dubnica","Slovakia","1","0","0"
"2000–01","FK Inter Bratislava","Slovakia","1","14",""
"2001–02","FK Inter Bratislava","Slovakia","1","26","1"
"2002–03","FK Inter Bratislava","Slovakia","1","10","0"
"2003–04","FK Inter Bratislava","Slovakia","1","21","0"
"2004–05","FK Inter Bratislava","Slovakia","1","30","1"
"2005–06","FK Inter Bratislava","Slovakia","1","3","1"
"2005–06","Artmedia Petržalka","Slovakia","1","16","1"
"2006","Saturn Ramenskoe","Russia","1","28","0"
"2007","Saturn Ramenskoe","Russia","1","23","0"
"2008","Saturn Ramenskoe","Russia","1","2","0"
"2008–09","ŠK Slovan Bratislava","Slovakia","1","11","1"
"2009–10","ŠK Slovan Bratislava","Slovakia","1","13","1"
"2009–10","PFC Levski Sofia","Bulgaria","1","10","2"
"2010–11","1.FC Tatran Prešov","Slovakia","1","25","0"
"2011–12","1.FC Tatran Prešov","Slovakia","1","26","1"
"2012–13","1.FC Tatran Prešov","Slovakia","1","30","2"
