"Outcome","No.","Year","Championship","Opponent in the final","Score"
"Winner","1.","1989","Pontins Professional","Malta Tony Drago","9–2"
"Runner-up","1.","1989","WPBSA Non-Ranking - Event 1","Australia Robby Foldvari","1–8"
"Winner","2.","1990","Welsh Professional Championship","Wales Doug Mountjoy","9–7"
"Winner","3.","1990","Shoot-Out","England Mike Hallett","2–1"
"Winner","4.","1991","Welsh Professional Championship (2)","Wales Mark Bennett","9–3"
"Runner-up","2.","1991","Benson & Hedges Championship","Republic of Ireland Ken Doherty","3–9"
"Runner-up","3.","1993","Pontins Professional","Republic of Ireland Ken Doherty","3–9"
"Winner","5.","1996","Irish Masters","England Steve Davis","9–8"
"Runner-up","4.","1997","Irish Masters","Scotland Stephen Hendry","8–9"
"Winner","6.","2000","Pontins Professional (2)","England Jimmy White","9–2"
"Winner","7.","2011","World Seniors Championship","England Steve Davis","2–1"
"Runner-up","5.","2016","World Seniors Championship","England Mark Davis","1–2"
