"Aircraft","Total","Introduced","Retired","Notes"
"Airbus A319-100","2","2008","2013",""
"Airbus A340-300","10","1994","2012",""
"BAC One-Eleven","1","1969","1978",""
"Boeing 707-320C","Unknown","1979","1980",""
"Boeing 737-200","11","1977","1995",""
"Boeing 737-700","1","2011","2012","Used as VIP Transport"
"Boeing 737-800","2","2007","2008",""
"Boeing 747-100","2","1984","1987",""
"Boeing 757-200F","1","1993","1996",""
"Boeing 767-300ER","21","1988","2008","Currently stored"
"Boeing 777-300ER","4","2009","2010",""
"de Havilland Dove","Unknown","1951","1964",""
"de Havilland Heron","Unknown","1956","1967",""
"de Havilland DH.86B","Unknown","1950","1952",""
"Douglas DC-3","Unknown","1961","1971",""
"Embraer 170","2","2010","2012",""
"Embraer 190","2","2010","2013",""
"Fokker F27 Friendship","Unknown","1967","1981",""
"Lockheed L-1011 TriStar","Unknown","1976","1998",""
"Short Skyvan","Unknown","1970","1981",""
"Vickers VC-10","Unknown","1974","1978",""
