"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1","Ohio State","Francis Schmidt","#15","#4","6–2","5–1","23.6","8.0","Steve Andrako"
"2","Iowa","Eddie Anderson","#9","#8","6-1-1","4-1-1","16.3","11.4","Nile Kinnick"
"3","Michigan","Fritz Crisler","#20","#2","6–2","3–2","27.4","11.8","Tom Harmon"
"4","Purdue","Allen Elward","NR","NR","3–3–2","2–1–2","7.0","6.6","Frank Bykowski"
"5","Northwestern","Pappy Waldorf","NR","NR","3–4–1","3–2–1","5.9","8.4","Jack Haman"
"6","Illinois","Robert Zuppke","NR","NR","3–4–1","3–3","9.4","9.3","Bill Lenich"
"7","Minnesota","Bernie Bierman","NR","#20","3–4–1","2–3–1","19.3","10.3","Hal Van Every"
"8","Indiana","Bo McMillin","NR","NR","2–4–2","2–3","8.8","12.0","James Logan"
"9","Wisconsin","Harry Stuhldreher","NR","NR","1–6–1","0–5–1","6.8","14.1","George Paskvan"
"10","Chicago","Clark Shaughnessy","NR","NR","2–6","0–3","4.6","38.5","Hobert Wasam"
