"Season","Class","Moto","Team","Number","Races","Win","Podiums","Pole","FLap","Pts","Position"
"1998","125cc","Aprilia","Via Digital Team","79","1","0","0","0","0","0","NC"
"1999","125cc","Derbi","Festina-Derbi","22","16","0","0","0","0","15","23rd"
"2000","125cc","Derbi","Derbi Racing","22","16","0","0","0","1","68","13th"
"2001","125cc","Derbi","L & M Derbi Team","22","15","0","0","0","0","21","24th"
"2002","125cc","Aprilia","Master-Aspar Team","22","16","0","3","1","0","145","6th"
"2003","125cc","Aprilia","Master-MXOnda-Aspar Team","22","16","1","3","2","1","148","7th"
"2004","125cc","Aprilia","Master - Repsol Team 125cc","22","16","0","2","0","2","138","6th"
"2005","125cc","Derbi","Caja Madria - Derbi Racing","22","16","0","0","0","1","64","13th"
"2006","125cc","Aprilia","Multimedia Racing","22","13","0","0","0","0","66","13th"
"2007","125cc","Aprilia","Blusens Aprilia","22","17","0","0","0","0","57","15th"
"2008","125cc","KTM","Onde 2000 KTM","22","16","0","0","0","0","25","21st"
"Total","","","","","158","1","8","3","5","747",""
