"Draw","Country","Artist","Song","Language","Place","Points"
"01","United Kingdom","Brotherhood of Man","%INLINEQ%Save Your Kisses for Me%INLINEQ%","English","1","164"
"02","Switzerland","Peter, Sue and Marc","%INLINEQ%Djambo, Djambo%INLINEQ%","English","4","91"
"03","Germany","Les Humphries Singers","%INLINEQ%Sing Sang Song%INLINEQ%","German","15","12"
"04","Israel","Chocolate, Menta, Mastik","%INLINEQ%Emor Shalom%INLINEQ% (אמור שלום)","Hebrew","6","77"
"05","Luxembourg","Jürgen Marcus","%INLINEQ%Chansons pour ceux qui s'aiment%INLINEQ%","French","14","17"
"06","Belgium","Pierre Rapsat","%INLINEQ%Judy et Cie%INLINEQ%","French","8","68"
"07","Ireland","Red Hurley","%INLINEQ%When%INLINEQ%","English","10","54"
"08","Netherlands","Sandra Reemer","%INLINEQ%The Party's Over%INLINEQ%","English","9","56"
"09","Norway","Anne-Karine Strøm","%INLINEQ%Mata Hari%INLINEQ%","English","18","7"
"10","Greece","Mariza Koch","%INLINEQ%Panagia mou, Panagia mou%INLINEQ% (Παναγιά μου, Παναγιά μου)","Greek","13","20"
"11","Finland","Fredi & Ystävät","%INLINEQ%Pump-Pump%INLINEQ%","English","11","44"
"12","Spain","Braulio","%INLINEQ%Sobran las palabras%INLINEQ%","Spanish","16","11"
"13","Italy","Al Bano & Romina Power","%INLINEQ%We'll Live It All Again%INLINEQ%","English, Italian","7","69"
"14","Austria","Waterloo & Robinson","%INLINEQ%My Little World%INLINEQ%","English","5","80"
"15","Portugal","Carlos do Carmo","%INLINEQ%Uma flor de verde pinho%INLINEQ%","Portuguese","12","24"
"16","Monaco","Mary Christy","%INLINEQ%Toi, la musique et moi%INLINEQ%","French","3","93"
"17","France","Catherine Ferry","%INLINEQ%Un, deux, trois%INLINEQ%","French","2","147"
"18","Yugoslavia","Ambasadori","%INLINEQ%Ne mogu skriti svoju bol%INLINEQ%","Bosnian","17","10"
