"Name","#","Position","Height","Weight","Year","Home Town","Season Honors"
"Nemanja Calasan","44","Forward","6–9","250","Senior","Srbinje, Bosnia & Herzegovina",""
"Keaton Grant","5","Guard","6–4","207","Junior","Kissimmee, FL",""
"Marcus Green","20","Guard","6–4","229","Senior","Franklin Park, IL",""
"John Hart","32","Guard","6–2","180","Redshirted","Beech Grove, IN",""
"Robbie Hummel","4","Forward","6–8","208","Sophomore","Valparaiso, IN","Third-Team All-Big Ten Big Ten Tournament MVP All-Big Ten Tournament Team Big Ten Player of the Week (12/15, 12/22) Academic All-Big Ten"
"Lewis Jackson","23","Guard","5–9","165","Freshman","Decatur, IL","Big Ten All-Freshman Team"
"JaJuan Johnson","25","Forward / Center","6–10","215","Sophomore","Indianapolis, IN","First-Team All-Big Ten Team Big Ten All-Defensive Team All-Big Ten Tournament Team"
"Chris Kramer","3","Guard","6–3","205","Junior","Huntington, IN","Big Ten All-Defensive Team Academic All-Big Ten"
"E'Twaun Moore","33","Guard","6–3","180","Sophomore","East Chicago, IN","Second-Team All-Big Ten All-Big Ten Tournament Team Big Ten Player of the Week (12/1) Academic All-Big Ten"
"Bobby Riddell","11","Guard","5–9","163","Senior","Lafayette, IN","Academic All-Big Ten"
"Chris Reid","55","Forward","6–9","251","Junior","Castro Valley, CA",""
"Ryne Smith","24","Guard","6–3","175","Freshman","Toledo, OH",""
"Mark Wohlford","30","Guard","6–0","185","Junior","Columbus, IN","Academic All-Big Ten"
