"Draw","Country","Artist","Song","Language","Place","Points"
"01","France","Jean Philippe","%INLINEQ%Oui, oui, oui, oui%INLINEQ%","French","3","15"
"02","Denmark","Birthe Wilke","%INLINEQ%Uh, jeg ville ønske jeg var dig%INLINEQ%","Danish","5","12"
"03","Italy","Domenico Modugno","%INLINEQ%Piove (Ciao, ciao bambina)%INLINEQ%","Italian","6","9"
"04","Monaco","Jacques Pills","%INLINEQ%Mon ami Pierrot%INLINEQ%","French","11","1"
"05","Netherlands","Teddy Scholten","%INLINEQ%Een beetje%INLINEQ%","Dutch","1","21"
"06","Germany","Alice & Ellen Kessler","%INLINEQ%Heute Abend wollen wir tanzen geh'n%INLINEQ%","German","8","5"
"07","Sweden","Brita Borg","%INLINEQ%Augustin%INLINEQ%","Swedish","9","4"
"08","Switzerland","Christa Williams","%INLINEQ%Irgendwoher%INLINEQ%","German","4","14"
"09","Austria","Ferry Graf","%INLINEQ%Der K und K Kalypso aus Wien%INLINEQ%","German","9","4"
"10","United Kingdom","Pearl Carr & Teddy Johnson","%INLINEQ%Sing, Little Birdie%INLINEQ%","English","2","16"
"11","Belgium","Bob Benny","%INLINEQ%Hou toch van mij%INLINEQ%","Dutch","6","9"
