"Rank","Time","Team","Nation","Date","Place","Ref"
"1","40.82","Tianna Bartoletta Allyson Felix Bianca Knight Carmelita Jeter","United States","10 August 2012","London",""
"2","41.01","Tianna Bartoletta Allyson Felix English Gardner Tori Bowie","United States","19 August 2016","Rio de Janeiro",""
"3","41.07","Veronica Campbell-Brown Natasha Morrison Elaine Thompson Shelly-Ann Fraser-Pryce","Jamaica","29 August 2015","Beijing",""
"4","41.29","Carrie Russell Kerron Stewart Schillonie Calvert Shelly-Ann Fraser-Pryce","Jamaica","18 August 2013","Moscow",""
"5","41.36","Christania Williams Elaine Thompson Veronica Campbell-Brown Shelly-Ann Fraser-Pryce","Jamaica","19 August 2016","Rio de Janeiro",""
"6","41.37","Silke Gladisch-Möller Sabine Rieger-Günther Ingrid Auerswald-Lange Marlies Göhr","German Democratic Republic","6 October 1985","Canberra",""
"7","41.41","Shelly-Ann Fraser-Pryce Sherone Simpson Veronica Campbell-Brown Kerron Stewart","Jamaica","10 August 2012","London",""
"8","41.47","Chryste Gaines Marion Jones Inger Miller Gail Devers","United States","9 August 1997","Athens",""
"9","41.49","Olga Bogoslovskaya Galina Malchugina Natalya Pomoshchnikova-Voronova Irina Privalova","Russia","22 August 1993","Stuttgart",""
"10","41.49","Michelle Finn-Burrell Gwen Torrence Wendy Vereen Gail Devers","United States","22 August 1993","Stuttgart",""
"11","41.52","Chryste Gaines Marion Jones Inger Miller Gail Devers","United States","8 August 1997","Athens",""
"12","41.53","Silke Gladisch-Möller Marita Koch Ingrid Auerswald-Lange Marlies Göhr","German Democratic Republic","31 July 1983","Berlin",""
"13","41.55","Alice Brown Diane Williams Florence Griffith-Joyner Pam Marshall","United States","21 August 1987","Berlin",""
"14","41.56","Bianca Knight Allyson Felix Marshevet Myers Carmelita Jeter","United States","4 September 2011","Daegu",""
"15","41.58","Alice Brown Diane Williams Florence Griffith-Joyner Pam Marshall","United States","6 September 1987","Rome",""
"16","41.58","Lauryn Williams Allyson Felix Muna Lee Carmelita Jeter","United States","8 August 2009","Cottbus",""
"17","41.60","Romy Müller Bärbel Wöckel Ingrid Auerswald-Lange Marlies Göhr","German Democratic Republic","1 August 1980","Moscow",""
"18","41.60","Sherone Simpson Natasha Morrison Elaine Thompson Shelly-Ann Fraser-Pryce","Jamaica","3 September 2015","Zürich",""
"19","41.61","Alice Brown Diane Williams Chandra Cheeseborough Evelyn Ashford","United States","3 July 1983","Colorado Springs",""
"20","41.63","Tatjana Pinto Lisa Mayer Gina Lückenkemper Rebekka Haase","Germany","29 July 2016","Mannheim",""
