"Model","Seats","Seats /Row","Intro.","Prod. end","Built","State","Serving","Orders"
"Sud Aviation Caravelle","80-140","5","1959","1972","282","France","0",""
"Yakovlev Yak-40","32","4","1968","1981","1011","Soviet Union","22",""
"Fokker F28 Fellowship","55-70","5","1969","1987","241","Netherlands","1",""
"VFW-Fokker 614","40-44","4","1975","1977","19","Germany","0",""
"BAe 146/Avro RJ","70-112","5","1983","2001","387","United Kingdom","118",""
"Fokker 100","97-122","5","1988","1997","283","Netherlands","109",""
"Bombardier CRJ100/200","50","4","1992","2006","1021","Canada","498",""
"Fokker 70","72-85","5","1994","1997","48","Netherlands","23",""
"Embraer ERJ family","37–50","3","1997","in prod.","1213","Brazil","505","0"
"Fairchild-Dornier 328JET","30-33","3","1999","2004","110","Germany","11",""
"Bombardier CRJ700/900/1000","66-104","4","2001","in prod.","822","Canada","777","54"
"Embraer E-Jet family","66-124","4","2004","in prod.","1414","Brazil","1346","133"
"Antonov An-148","68–99","5","2009","in prod.","42","Ukraine","7","1"
"Sukhoi Superjet 100","87-108","5","2011","in prod.","159","Russia","114","27"
"Comac ARJ21","78-105","5","2016","in prod.","9","China","5","103"
"Embraer E-Jet E2 family","80-146","4","2018","in prod.","8","Brazil","3","153"
"Mitsubishi MRJ","69-92","4","2020 (est)","in prod.","4","Japan","0","203"
