"Rank","Name","Nationality","Time","Points","Notes"
"1","Brianne Theisen-Eaton","Canada","2:09.99","965","SB"
"2","Barbara Nwaba","United States","2:10.07","964","SB"
"3","Györgyi Zsivoczky-Farkas","Hungary","2:18.48","844","SB"
"4","Makeba Alcide","Saint Lucia","2:18.65","842","SB"
"5","Salcia Slack","Jamaica","2:19.00","837",""
"6","Kateřina Cachová","Czech Republic","2:19.97","824",""
"7","Georgia Ellenwood","Canada","2:20.18","821",""
"8","Morgan Lake","Great Britain","2:20.40","818",""
"9","Alina Fyodorova","Ukraine","2:20.42","818",""
"10","Kendell Williams","United States","2:22.82","786",""
"11","Anastasiya Mokhnyuk","Ukraine","2:23.19","781",""
"12","Celina Leffler","Germany","2:24.01","770",""
