"No. overall","No. in season","Title","Directed by","Written by","Original air date","US viewers (millions)"
"13","1",""It's Alive!"","Tony Goldwyn","Daniel Cerone","September 30, 2007","1.01"
"14","2",""Waiting to Exhale"","Marcos Siega","Clyde Phillips","October 7, 2007","0.89"
"15","3",""An Inconvenient Lie"","Tony Goldwyn","Melissa Rosenberg","October 14, 2007","0.95"
"16","4",""See-Through"","Nick Gomez","Scott Buck","October 21, 2007","0.80"
"17","5",""The Dark Defender"","Keith Gordon","Tim Schlattmann","October 28, 2007","0.63"
"18","6",""Dex, Lies, and Videotape"","Nick Gomez","Lauren Gussis","November 4, 2007","N/A"
"19","7",""That Night, A Forest Grew"","Jeremy Podeswa","Daniel Cerone","November 11, 2007","0.84"
"20","8",""Morning Comes"","Keith Gordon","Scott Buck","November 18, 2007","1.23"
"21","9",""Resistance Is Futile"","Marcos Siega","Melissa Rosenberg","November 25, 2007","N/A"
"22","10",""There's Something About Harry"","Steve Shill","Scott Reynolds","December 2, 2007","1.08"
"23","11",""Left Turn Ahead"","Marcos Siega","Scott Buck & Tim Schlattmann","December 9, 2007","0.89"
"24","12",""The British Invasion"","Steve Shill","Story by: Daniel Cerone & Melissa Rosenberg Teleplay by: Daniel Cerone","December 16, 2007","1.02"
