"Round","Pick","Player","Position","Nationality","Team","College","Year graduated"
"1","1","Julian Harris","F","United States","Raleigh Firebirds","UT Arlington","2018"
"1","2","Xzavier Taylor","F/C","United States","Jamestown Jackals","Purdue Fort Wayne","2018"
"1","3","Zack Taylor","F","United States","Tampa Bay Titans","Louisville","2018"
"1","4","Zerrion Payton","G","United States","San Diego Waves","Westminster College","2017"
"1","5","Quincy Scates","G","United States","Owensboro Thoroughbreds","Tennessee Wesleyan University","2016"
"1","6","Jeremy Burright","F","United States","Kansas City Tornadoes","Lower Columbia College",""
"1","7","Alonzo Murphy","F","United States","Albany Patroons","Lincoln University","2015"
"1","8","Dushone Brown","F","United States","Mesquite Desert Dogs","Los Angeles Harbor College",""
"1","9","Richard Townsend-Gant","F","United States","Yakima Sun Kings","Vancouver Island",""
"1","10","Darnell Foreman","F","United States","New York Court Kings","University of Pennsylvania","2018"
"2","11","Rahim Williams","G","United States","New York Court Kings","Youngstown State","2018"
"2","12","Brenton Scott","G","United States","Yakima Sun Kings","Indiana State","2018"
"2","13","Zach Cassita","G","United States","Mesquite Desert Dogs","North Park University",""
"2","14","Josh Cameron","G","United States","Albany Patroons","Coastal Carolina University",""
"2","15","Darien Walker","F","United States","Kansas City Tornadoes","Valparaiso","2016"
"2","16","Gerald Campbell","G","United States","Owensboro Thoroughbreds","Central State University",""
"2","17","Spencer Parker","F","United States","San Diego Waves","Bowling Green State University","2017"
"2","18","Arthur Tally","F","United States","Tampa Bay Titans","Claflin University",""
"2","19","Charles Foster","G","United States","Jamestown Jackals","Kansas State","2018"
"2","20","Timothy Plummer","F","United States","Raleigh Firebirds","State College of Florida",""
