"Season","Venue","Player of the series","No. of Tests","Aus won","NZ won","Drawn","Series result","Holder","Refs."
"1985–86","Australia","Richard Hadlee (NZ)","3","1","2","0","New Zealand","New Zealand",""
"1985–86","New Zealand","N/A","3","0","1","2","New Zealand","New Zealand",""
"1987–88","Australia","Richard Hadlee (NZ)","3","1","0","2","Australia","Australia",""
"1989–90","Australia","Mark Greatbatch (NZ)","1","0","0","1","Drawn","Australia",""
"1989–90","New Zealand","John Wright (NZ)","1","0","1","0","New Zealand","New Zealand",""
"1992–93","New Zealand","N/A","3","1","1","1","Drawn","New Zealand",""
"1993–94","Australia","Shane Warne (Aus)","3","2","0","1","Australia","Australia",""
"1997–98","Australia","Mark Taylor (Aus)","3","2","0","1","Australia","Australia",""
"1999–2000","New Zealand","N/A","3","3","0","0","Australia","Australia",""
"2001–02","Australia","Justin Langer (Aus)","3","0","0","3","Drawn","Australia",""
"2004–05","Australia","Glenn McGrath (Aus)","2","2","0","0","Australia","Australia",""
"2004–05","New Zealand","Adam Gilchrist (Aus)","3","2","0","1","Australia","Australia",""
"2008–09","Australia","Michael Clarke (Aus)","2","2","0","0","Australia","Australia",""
"2009–10","New Zealand","N/A","2","2","0","0","Australia","Australia",""
"2011–12","Australia","James Pattinson (Aus)","2","1","1","0","Drawn","Australia",""
"2015–16","Australia","David Warner (Aus)","3","2","0","1","Australia","Australia",""
"2015–16","New Zealand","N/A","2","2","0","0","Australia","Australia",""
