"Tournament","Year","Winner","Total won","Reference"
"Young Lion Cup","1985","Shunji Kosugi","1",""
"Young Lion Cup","1986","Keiichi Yamada","1",""
"Young Lion Cup","1987","Masahiro Chono","1",""
"Young Lion Cup","1993","Hiroyoshi Yamamoto","1",""
"Young Lion Cup","1994","Satoshi Kojima","1",""
"Young Lion Cup","1995","Manabu Nakanishi","1",""
"Young Lion Cup","1996","Tokimitsu Ishizawa","1",""
"Young Lion Cup","2000","Kenzo Suzuki","1",""
"Young Lion Cup","2004","Ryusuke Taguchi","1",""
"Young Lion Cup","2005","Hirooki Goto","1",""
"Young Lion Cup","2017","Katsuya Kitamura","1",""
