"Film title","Actor","Character","Dub Language","Original Language","Original Year Release","Dub Year Release","Notes"
"Deadpool","Karan Soni","Dopinder","Hindi","English","2016","2016","Bhuvan Bam dubbed this role in Deadpool 2."
"Kung Fu Yoga","Jackie Chan","Jack","Hindi","Mandarin English","2017","2017",""
"Harry Potter and the Half Blood Prince","Daniel Radcliffe","Harry Potter","Hindi","English","2009","2009",""
"Harry Potter and the Deathly Hallows – Part 1","Daniel Radcliffe","Harry Potter","Hindi","English","2010","2010",""
"Harry Potter and the Deathly Hallows – Part 2","Daniel Radcliffe","Harry Potter","Hindi","English","2011","2011",""
"The Bounty Hunter","Adam Rose","Jimmy","Hindi","English","2010","2010","Performed alongside Saptrishi Ghosh who voiced Gerard Butler as Milo Boyd."
"The Reluctant Fundamentalist","Riz Ahmed","Changez Khan","Hindi","English","2012","2012",""
"The Legend of Hercules","Liam McIntyre","Sotiris","Hindi","English","2014","2014",""
"Ant-Man","David Dastmalchian","Kurt","Hindi","English","2015","2015","Performed alongside Sahil Vaid who voice Paul Rudd as Scott Lang / Ant-Man in Hindi."
"Ant-Man and the Wasp","David Dastmalchian","Kurt","Hindi","English","2018","2018","Performed alongside Sahil Vaid who voice Paul Rudd as Scott Lang / Ant-Man in Hindi."
"Goosebumps","Dylan Minnette","Zach Cooper","Hindi","English","2015","2015",""
"Batman v Superman: Dawn of Justice","Jesse Eisenberg","Lex Luthor","Hindi","English","2016","2016",""
"Justice League","Jesse Eisenberg","Lex Luthor (cameo)","Hindi","English","2017","2017",""
"Teenage Mutant Ninja Turtles: Out of the Shadows","Stephen Amell","Casey Jones","Hindi","English","2016","2016",""
"Sky High","Steven Strait","Warren Peace (First Dub)","Hindi","English","2005","2005",""
"Max Steel","Ben Winchell","Maxwell "Max" McGrath / Max Steel","Hindi","English","2016","2018",""
"Scooby-Doo 2: Monsters Unleashed","Seth Green","Patrick Wisley","Hindi","English","2004","2004",""
"Bumblebee","Dylan O'Brien","Bumblebee (voice)","Hindi","English","2018","2018",""
"Mortal Engines","Robert Sheehan","Tom Natsworthy","Hindi","English","2018","2018",""
"Split","James McAvoy","Kevin Wendell Crumb / The Horde","Hindi","English","2016","2019",""
