"Name","Location","Age","Year of disappearance","Year of body being found","Suspects","Reference(s)"
"Charles Armstrong","Crossmaglen","54","1981","2010","Republicans",""
"Gerard Evans","County Monaghan, Ireland","24","1979","2010","Republicans",""
"Joe Lynskey","Belfast","40","1972","Still missing","Republicans",""
"John McClory","Belfast","17","1978","1999","Republicans",""
"Jean McConville","Belfast","38","1972","2003","Republicans",""
"Danny McIlhone","Belfast","21","1981","2008","Republicans",""
"Kevin McKee","South Armagh","17","1972","2015","Republicans",""
"Brian McKinney","Belfast","22","1978","1999","Republicans",""
"Columba McVeigh","Dublin, Ireland","17","1975","Still missing","Republicans",""
"Brendan Megraw","Belfast","24","1978","2014","Republicans",""
"Eamon Molloy","Belfast","22","1975","1999","Republicans",""
"Robert Nairac","Dromintee, South Armagh","28","1977","Still missing","Republicans",""
"Seamus Ruddy","Paris, France","32","1985","2017","Republicans",""
"Eugene Simons","Castlewellan, County Down","26","1981","1984","Republicans",""
"Peter Wilson","Belfast","21","1973","2010","Republicans",""
"Seamus Wright","South Armagh","25","1972","2015","Republicans",""
