"#","Event year","Season","Flag bearer","Sport"
"15","2018","Winter","Tomas Kaukėnas","Biathlon"
"14","2016","Summer","Gintarė Scheidt","Laser Radial"
"13","2014","Winter","Deividas Stagniūnas","Ice dancing"
"12","2012","Summer","Virgilijus Alekna","Athletics"
"11","2010","Winter","Irina Terentjeva","Cross-country skiing"
"10","2008","Summer","Šarūnas Jasikevičius","Basketball"
"9","2006","Winter","Vida Vencienė","Cross-country skiing"
"8","2004","Summer","Saulius Štombergas","Basketball"
"7","2002","Winter","Ričardas Panavas","Cross-country skiing"
"6","2000","Summer","Romas Ubartas","Athletics"
"5","1998","Winter","Povilas Vanagas","Figure skating"
"4","1996","Summer","Raimundas Mažuolis","Swimming"
"3","1994","Winter","Povilas Vanagas","Figure skating"
"2","1992","Summer","Raimundas Mažuolis","Swimming"
"1","1992","Winter","Gintaras Jasinskas","Biathlon"
