"Conf. Rank","Team","Head coach","AP final","AP high","Overall record","Conf. record","PPG","PAG","MVP"
"1 (tie)","Michigan","Bo Schembechler","#5","#3","10–2","7–1","31.0","8.8","Rick Leach"
"1 (tie)","Michigan State","Darryl Rogers","#12","#12","8–3","7–1","37.4","15.5","Ed Smith"
"3","Purdue","Jim Young","#13","#12","9–2–1","6–1–1","21.8","10.8","Keena Turner"
"4","Ohio State","Woody Hayes","NR","#6","7–4–1","6–2","28.3","18.0","Tom Cousineau"
"5","Minnesota","Cal Stoll","NR","NR","5–6","4–4","19.1","24.3","Marion Barber, Jr."
"6","Wisconsin","Dave McClain","NR","NR","5–4–2","3–4–2","20.3","25.2","Mike Kalasmiki"
"7","Indiana","Lee Corso","NR","NR","4–7","3–5","20.7","26.4","Joe Norman"
"8","Iowa","Bob Commings","NR","NR","2–9","2–6","11.4","26.5","Brad Reid"
"9","Illinois","Gary Moeller","NR","NR","1–8–2","0–6–2","9.4","28.8","John Sullivan"
"10","Northwestern","Rick Venturi","NR","NR","0–10–1","0–8–1","8.4","40.0","Pat Geegan"
