"Artist","Single","Released","Sales (in millions)","Source"
"Twenty One Pilots","%INLINEQ%Stressed Out%INLINEQ%","2015","9.9",""
"P!nk featuring Nate Ruess","%INLINEQ%Just Give Me a Reason%INLINEQ%","2013","9.9",""
"Katy Perry","%INLINEQ%Roar%INLINEQ%","2013","9.9",""
"Bruno Mars","%INLINEQ%That's What I Like%INLINEQ%","2017","9.7",""
"Lady Gaga","%INLINEQ%Bad Romance%INLINEQ%","2009","9.7",""
"Marshmello and Anne-Marie","%INLINEQ%Friends%INLINEQ%","2018","9.6",""
"fun. featuring Janelle Monáe","%INLINEQ%We Are Young%INLINEQ%","2011","9.6",""
"Pitbull featuring Kesha","%INLINEQ%Timber%INLINEQ%","2013","9.6",""
"Daft Punk featuring Pharrell Williams and Nile Rodgers","%INLINEQ%Get Lucky%INLINEQ%","2013","9.3",""
"Post Malone featuring Ty Dolla Sign","%INLINEQ%Psycho%INLINEQ%","2018","9.2",""
"Taylor Swift","%INLINEQ%Blank Space%INLINEQ%","2014","9.2",""
"Maroon 5","%INLINEQ%Payphone%INLINEQ%","2012","9.1",""
"Iggy Azalea featuring Charli XCX","%INLINEQ%Fancy%INLINEQ%","2014","9.1",""
"Lil Wayne featuring Static Major","%INLINEQ%Lollipop%INLINEQ%","2008","9.1",""
"Ariana Grande featuring Iggy Azalea","%INLINEQ%Problem%INLINEQ%","2014","9",""
"Madonna","%INLINEQ%Hung Up%INLINEQ%","2005","9",""
"Thelma Aoyama","%INLINEQ%Soba ni Iru ne%INLINEQ%","2008","8.7",""
"Imagine Dragons","%INLINEQ%Radioactive%INLINEQ%","2012","8.6",""
"Magic!","%INLINEQ%Rude%INLINEQ%","2014","8.6",""
"Black Eyed Peas","%INLINEQ%Boom Boom Pow%INLINEQ%","2009","8.5",""
"Jennifer Lopez featuring Pitbull","%INLINEQ%On the Floor%INLINEQ%","2011","8.4",""
"Kendrick Lamar","%INLINEQ%Humble%INLINEQ%","2017","8.3",""
"Charlie Puth","%INLINEQ%Attention%INLINEQ%","2017","8.3",""
"Bruno Mars","%INLINEQ%When I Was Your Man%INLINEQ%","2013","8.3",""
"OMI","%INLINEQ%Cheerleader%INLINEQ%","2014","8.3",""
"Lady Gaga","%INLINEQ%Born This Way%INLINEQ%","2011","8.2",""
"Pitbull featuring Ne-Yo, Afrojack, and Nayer","%INLINEQ%Give Me Everything%INLINEQ%","2011","8.2",""
"Jason Derulo","%INLINEQ%Want to Want Me%INLINEQ%","2015","8.1",""
"will.i.am featuring Britney Spears","%INLINEQ%Scream & Shout%INLINEQ%","2012","8.1",""
"Utada Hikaru","%INLINEQ%Flavor of Life%INLINEQ%","2007","8",""
"Enrique Iglesias featuring Sean Paul, Descemer Bueno and Gente de Zona","%INLINEQ%Bailando%INLINEQ%","2014","8",""
