"Sr No","Year Est.","Name","Location","State","Specialization"
"1","1791","Sampurnanand Sanskrit University","Varnasi","Uttar Pradesh",""
"2","1824","The Sanskrit College and University","Kolkata","West Bengal",""
"3","1961","Kameshwar Singh Darbhanga Sanskrit University","Darbhanga","Bihar",""
"4","1962","Rashtriya Sanskrit Vidyapeetha","Tirupati","Andhra Pradesh",""
"5","1962","Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha","New Delhi","Central Govt",""
"6","1970","Rashtriya Sanskrit Sansthan","New Delhi","Central Govt","Multi Campus"
"7","1981","Shri Jagannath Sanskrit Vishvavidayalaya","Puri","Orissa",""
"8","1993","Sree Sankaracharya University of Sanskrit","Kalady","Kerala",""
"9","1997","Kavikulaguru Kalidas Sanskrit University","Ramtek, (Nagpur)","Maharashtra",""
"10","2001","Jagadguru Ramanandacharya Rajasthan Sanskrit University","Jaipur","Rajasthan",""
"11","2005","Shree Somnath Sanskrit University","Somnath-Veraval, Junagarh","Gujarat",""
"12","2005","Sri Venkateswara Vedic University","Tirupati, Junagarh","Andhra Pradesh",""
"13","2008","Maharishi Panini Sanskrit Evam Vedic Vishwavidyalaya","Ujjain","Madhya Pradesh",""
"14","2018","Maharishi Balmiki Sanskrit University","Kaithal","Haryana",""
