"Year","Total number of billionaires","Combined wealth of known billionaires","Number of U.S. billionaires","Number of Chinese billionaires","Number of Russian billionaires","Number of Indian billionaires","World's wealthiest individual","Wealthiest individual's net worth"
"2018","2,754","$9.2 trillion","680","338","–","117","Jeff Bezos","$133 billion"
"2017","2,043","$7.71 trillion","565","319","–","101","Jeff Bezos","$99.6 billion"
"2016","1,810","$6.48 trillion","540","251","75","90","Bill Gates","$75 billion"
"2015","1,826","$7.05 trillion","536","213","88","88","Bill Gates","$79.2 billion"
"2014","1,645","$6.4 trillion","492","152","111","56","Bill Gates","$78 billion"
"2013","1,426","$5.4 trillion","442","122","110","–","Carlos Slim","$73 billion"
"2012","1,226","$4.6 trillion","425","95","96","–","Carlos Slim","$73 billion"
"2011","1,210","$4.5 trillion","413","115","101","–","Carlos Slim","$74 billion"
"2010","1,011","$3.6 trillion","404 (est.)","89","62","–","Carlos Slim","$53.5 billion"
"2009","793","$2.4 trillion","359","28","32","–","Bill Gates","$40 billion"
"2008","1,125","$4.4 trillion","470 (est.)","–","87","–","Warren Buffett","$62 billion"
