"Player","Pos.","Team","Career start","Career end","Games played","Blocks","Ref."
"Jarvis Varnado","F","Mississippi State","2006","2010","141","564",""
"Wojciech Myrda","C","Louisiana–Monroe","1998","2002","115","535",""
"Adonal Foyle","C","Colgate","1994","1997","87","492",""
"Tim Duncan","C","Wake Forest","1993","1997","128","481",""
"William Mosley","C","Northwestern State","2008","2012","124","456",""
"Alonzo Mourning*","C","Georgetown","1988","1992","120","453",""
"Tarvis Williams","F/C","Hampton","1997","2001","114","452",""
"Ken Johnson","C","Ohio State","1997","2001","127","444",""
"Shawn James","F","Northeastern / Duquesne","2004","2008","83","443",""
"Deng Gai","F","Fairfield","2001","2005","100","442",""
"Emeka Okafor","C","Connecticut","2001","2004","103","441",""
"Lorenzo Coleman","C","Tennessee Tech","1993","1997","113","437",""
"Calvin Booth","C","Penn State","1995","1999","114","428",""
"Theo Ratliff","C","Wyoming","1991","1995","111","425",""
"Alvin Jones","C","Georgia Tech","1997","2001","124","425",""
"Etan Thomas","F","Syracuse","1996","2000","122","424",""
"Shelden Williams","F","Duke","2002","2006","139","422",""
"Rodney Blake","F","Saint Joseph's","1984","1988","116","419",""
"Hasheem Thabeet","C","Connecticut (2)","2006","2009","100","417",""
"Shaquille O'Neal*","C","LSU","1989","1992","90","412",""
"Kevin Roberson","C","Vermont","1988","1992","112","409",""
"Jim McIlvaine","C","Marquette","1990","1994","118","399",""
"Stephane Lasme","F","Massachusetts","2003","2007","118","399",""
"Mickell Gladness","F/C","Alabama A&M","2005","2008","85","396",""
"D'or Fischer","F","Northwestern State (2) / West Virginia","2000","2005","127","392",""
"Tim Perry","F","Temple","1984","1988","130","392",""
