"Year","Event","Opponent","Date","Venue","Team","Team","Winner","Ref"
"2009","IBSA Goalball European Championships","Finland","24 August","Munich, Germany","1","4","Finland",""
"2009","IBSA Goalball European Championships","Spain","25 August","Munich, Germany","1","6","Israel",""
"2009","IBSA Goalball European Championships","Great Britain","26 August","Munich, Germany","0","7","Great Britain",""
"2009","IBSA Goalball European Championships","Germany","26 August","Munich, Germany","0","4","Germany",""
"2009","IBSA Goalball European Championships","Turkey","27 August","Munich, Germany","4","10","Israel",""
"2009","IBSA Goalball European Championships","Greece","28 August","Munich, Germany","1","2","Greece",""
"2009","IBSA Goalball European Championships","Russia","28 August","Munich, Germany","7","9","Israel",""
"2009","IBSA Goalball European Championships","Sweden","29 August","Munich, Germany","6","2","Sweden",""
"2013","IBSA Goalball European Championships","Germany","1–11 November","Konya, Turkey","1","8","Israel",""
"2013","IBSA Goalball European Championships","Turkey","1–11 November","Konya, Turkey","7","4","Israel",""
"2013","IBSA Goalball European Championships","Spain","1–11 November","Konya, Turkey","3","4","Spain",""
"2013","IBSA Goalball European Championships","Denmark","1–11 November","Konya, Turkey","6","4","Israel",""
"2013","IBSA Goalball European Championships","Ukraine","7 November","Konya, Turkey","5","4","Israel",""
"2013","IBSA Goalball European Championships","Russia","8 November","Konya, Turkey","3","0","Russia",""
"2013","IBSA Goalball European Championships","Finland","8 November","Konya, Turkey","3","5","Israel",""
