"Grid","No.","Driver","Manufacturer","Speed","Time","Owner"
"1","23","Frank Mundy","'51 Studebaker","84.173","7:07.690","Perry Smith"
"2","92","Herb Thomas","'51 Hudson","83.164","7:12.880","Herb Thomas"
"3","31","Jesse James Taylor","'51 Hudson","82.924","7:14.130","Jesse James Taylor"
"4","14","Fonty Flock","'51 Oldsmobile","82.645","7:15.600","Frank Christian"
"5","77","Hershel McGriff","'51 Oldsmobile","82.819","7:14.680","Hershel McGriff"
"6","16","Bill Snowden","'51 Ford","82.141","7:18.270","Bill Snowden"
"7","11","Fireball Roberts","'51 Ford","82.417","7:16.800","Ed Saverance"
"8","28","Ray Chase","'50 Oldsmobile","81.409","7:22.210","Bill Sheldon"
"9","38","Frank Gise","'51 Studebaker","81.194","7:23.880","B.R. Waller"
"10","7","Bob Flock","'51 Oldsmobile","82.284","7:17.510","Ted Chester"
