"Sr No","Name","Height","Floors","Year"
"1","GIFT One","122 metres (400 ft)","29","2012"
"2","GIFT Two","122 metres (400 ft)","29","2012"
"3","Westgate","70 metres (230 ft)","22","2015"
"4","Pinecrest 1 (GGC)","70 metres (230 ft)","22","2015"
"5","Pinecrest 2 (GGC)","70 metres (230 ft)","22","2015"
"6","Pinecrest 3 (GGC)","70 metres (230 ft)","22","2015"
"7","Mondeal Heights A","70 metres (230 ft)","18","2015"
"8","Mondeal Heights B","70 metres (230 ft)","18","2015"
"9","Patang Hotel","67 metres (220 ft)","","1980"
"10","Shapath 5","62 metres (203 ft)","19","2014"
"11","Zydus Cadilla","72 metres (236 ft)","15","2014"
"12","Parajit eclate 1","72 metres (236 ft)","22","2017"
"13","Parajit eclate 2","72 metres (236 ft)","22","2017"
"14","Privilion1","72 metres (236 ft)","22","2018"
"15","Privilion 2","72 metres (236 ft)","22","2018"
"16","Aryan opulence","70 metres (230 ft)","22","2017"
"17","One 49","70 metres (230 ft)","22","2017"
"18","ISCON Platinum O","70 metres (230 ft)","22","2017"
"19","ISCON Platinum P","70 metres (230 ft)","22","2017"
"20","ISCON Platinum Q","70 metres (230 ft)","22","2017"
"21","ISCON Platinum R","70 metres (230 ft)","22","2017"
"22","ISCON Platinum S","70 metres (230 ft)","22","2017"
"23","Synthesis The First","70 metres (230 ft)","19","2017"
