"Rank","Score","Overs","RR","Inns","Opposition","Ground","Tournament","Date",""
"1","191/7","19.4","9.71","2nd","Brisbane Heat","The Gabba, Brisbane","BBL06 Rounds","3 Jan 2017",""
"2","190/5","17.3","10.85","2nd","Melbourne Stars","SCG, Sydney","BBL07 Rounds","23 Jan 2018",""
"3","186/7","20.0","9.30","1st","Hobart Hurricanes","Sydney Cricket Ground, Sydney","BBL05 Rounds","20 Dec 2015",""
"4","185/5","20.0","9.25","1st","Chennai Super Kings","New Wanderers Stadium, Johannesburg","2012 CLT20 Group Stage","14 Oct 2012",""
"5","181/4","20.0","9.05","1st","Adelaide Strikers","Adelaide Oval, Adelaide","BBL04 Semi-final","24 Jan 2015",""
"6","180/7","20.0","9.00","1st","Sydney Thunder","Stadium Australia, Sydney","BBL04 Rounds","27 Dec 2014",""
"7","179/6","20.0","8.95","1st","Hobart Hurricanes","SCG, Sydney","BBL03 Rounds","15 Jan 2014",""
"8","176","20.0","8.80","1st","Perth Scorchers","SCG, Sydney","BBL01 Rounds","18 Jan 2012",""
"9","176/5","20.0","8.80","1st","Adelaide Strikers","Adelaide Oval, Adelaide","BBL05 Rounds","31 Dec 2015",""
"10","174/7","18.5","9.32","2nd","Melbourne Renegades","Docklands Stadium, Melbourne","BBL05 Rounds","23 Dec 2015",""
